# Assembly name:  freshwater MAG --- I-3_bin-033
# Organism name:  uncultured Verrucomicrobium sp. (verrucomicrobia)
# Isolate:  I-3_bin-033
# Taxid:          114704
# BioSample:      SAMEA6945196
# BioProject:     PRJEB38681
# Submitter:      BILS
# Date:           2020-07-17
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CAIZXV01
# Assembly method: megahit
# Genome coverage: 1x
# Sequencing technology: Illumina NovaSeq 6000
# Excluded from RefSeq: derived from metagenome; fragmented assembly
# GenBank assembly accession: GCA_903937045.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_903937044.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig1	unplaced-scaffold	na	na	CAIZXV010000001.1	<>	na	Primary Assembly	1860	na
contig2	unplaced-scaffold	na	na	CAIZXV010000002.1	<>	na	Primary Assembly	2969	na
contig3	unplaced-scaffold	na	na	CAIZXV010000003.1	<>	na	Primary Assembly	2192	na
contig4	unplaced-scaffold	na	na	CAIZXV010000004.1	<>	na	Primary Assembly	5872	na
contig5	unplaced-scaffold	na	na	CAIZXV010000005.1	<>	na	Primary Assembly	2387	na
contig6	unplaced-scaffold	na	na	CAIZXV010000006.1	<>	na	Primary Assembly	2944	na
contig7	unplaced-scaffold	na	na	CAIZXV010000007.1	<>	na	Primary Assembly	2644	na
contig8	unplaced-scaffold	na	na	CAIZXV010000008.1	<>	na	Primary Assembly	2003	na
contig9	unplaced-scaffold	na	na	CAIZXV010000009.1	<>	na	Primary Assembly	2642	na
contig10	unplaced-scaffold	na	na	CAIZXV010000010.1	<>	na	Primary Assembly	2347	na
contig11	unplaced-scaffold	na	na	CAIZXV010000011.1	<>	na	Primary Assembly	2421	na
contig12	unplaced-scaffold	na	na	CAIZXV010000012.1	<>	na	Primary Assembly	2947	na
contig13	unplaced-scaffold	na	na	CAIZXV010000013.1	<>	na	Primary Assembly	2010	na
contig14	unplaced-scaffold	na	na	CAIZXV010000014.1	<>	na	Primary Assembly	2135	na
contig15	unplaced-scaffold	na	na	CAIZXV010000015.1	<>	na	Primary Assembly	4566	na
contig16	unplaced-scaffold	na	na	CAIZXV010000016.1	<>	na	Primary Assembly	1739	na
contig17	unplaced-scaffold	na	na	CAIZXV010000017.1	<>	na	Primary Assembly	1660	na
contig18	unplaced-scaffold	na	na	CAIZXV010000018.1	<>	na	Primary Assembly	3625	na
contig19	unplaced-scaffold	na	na	CAIZXV010000019.1	<>	na	Primary Assembly	3192	na
contig20	unplaced-scaffold	na	na	CAIZXV010000020.1	<>	na	Primary Assembly	1777	na
contig21	unplaced-scaffold	na	na	CAIZXV010000021.1	<>	na	Primary Assembly	1535	na
contig22	unplaced-scaffold	na	na	CAIZXV010000022.1	<>	na	Primary Assembly	2185	na
contig23	unplaced-scaffold	na	na	CAIZXV010000023.1	<>	na	Primary Assembly	3039	na
contig24	unplaced-scaffold	na	na	CAIZXV010000024.1	<>	na	Primary Assembly	2885	na
contig25	unplaced-scaffold	na	na	CAIZXV010000025.1	<>	na	Primary Assembly	1582	na
contig26	unplaced-scaffold	na	na	CAIZXV010000026.1	<>	na	Primary Assembly	5258	na
contig27	unplaced-scaffold	na	na	CAIZXV010000027.1	<>	na	Primary Assembly	3059	na
contig28	unplaced-scaffold	na	na	CAIZXV010000028.1	<>	na	Primary Assembly	2070	na
contig29	unplaced-scaffold	na	na	CAIZXV010000029.1	<>	na	Primary Assembly	2929	na
contig30	unplaced-scaffold	na	na	CAIZXV010000030.1	<>	na	Primary Assembly	1758	na
contig31	unplaced-scaffold	na	na	CAIZXV010000031.1	<>	na	Primary Assembly	1853	na
contig32	unplaced-scaffold	na	na	CAIZXV010000032.1	<>	na	Primary Assembly	1838	na
contig33	unplaced-scaffold	na	na	CAIZXV010000033.1	<>	na	Primary Assembly	3265	na
contig34	unplaced-scaffold	na	na	CAIZXV010000034.1	<>	na	Primary Assembly	3498	na
contig35	unplaced-scaffold	na	na	CAIZXV010000035.1	<>	na	Primary Assembly	2946	na
contig36	unplaced-scaffold	na	na	CAIZXV010000036.1	<>	na	Primary Assembly	1710	na
contig37	unplaced-scaffold	na	na	CAIZXV010000037.1	<>	na	Primary Assembly	3525	na
contig38	unplaced-scaffold	na	na	CAIZXV010000038.1	<>	na	Primary Assembly	1913	na
contig39	unplaced-scaffold	na	na	CAIZXV010000039.1	<>	na	Primary Assembly	1840	na
contig40	unplaced-scaffold	na	na	CAIZXV010000040.1	<>	na	Primary Assembly	2324	na
contig41	unplaced-scaffold	na	na	CAIZXV010000041.1	<>	na	Primary Assembly	1972	na
contig42	unplaced-scaffold	na	na	CAIZXV010000042.1	<>	na	Primary Assembly	1713	na
contig43	unplaced-scaffold	na	na	CAIZXV010000043.1	<>	na	Primary Assembly	1944	na
contig44	unplaced-scaffold	na	na	CAIZXV010000044.1	<>	na	Primary Assembly	2185	na
contig45	unplaced-scaffold	na	na	CAIZXV010000045.1	<>	na	Primary Assembly	2847	na
contig46	unplaced-scaffold	na	na	CAIZXV010000046.1	<>	na	Primary Assembly	1892	na
contig47	unplaced-scaffold	na	na	CAIZXV010000047.1	<>	na	Primary Assembly	1952	na
contig48	unplaced-scaffold	na	na	CAIZXV010000048.1	<>	na	Primary Assembly	3162	na
contig49	unplaced-scaffold	na	na	CAIZXV010000049.1	<>	na	Primary Assembly	3030	na
contig50	unplaced-scaffold	na	na	CAIZXV010000050.1	<>	na	Primary Assembly	1799	na
contig51	unplaced-scaffold	na	na	CAIZXV010000051.1	<>	na	Primary Assembly	6055	na
contig52	unplaced-scaffold	na	na	CAIZXV010000052.1	<>	na	Primary Assembly	2664	na
contig53	unplaced-scaffold	na	na	CAIZXV010000053.1	<>	na	Primary Assembly	1750	na
contig54	unplaced-scaffold	na	na	CAIZXV010000054.1	<>	na	Primary Assembly	1538	na
contig55	unplaced-scaffold	na	na	CAIZXV010000055.1	<>	na	Primary Assembly	2064	na
contig56	unplaced-scaffold	na	na	CAIZXV010000056.1	<>	na	Primary Assembly	1886	na
contig57	unplaced-scaffold	na	na	CAIZXV010000057.1	<>	na	Primary Assembly	3193	na
contig58	unplaced-scaffold	na	na	CAIZXV010000058.1	<>	na	Primary Assembly	2542	na
contig59	unplaced-scaffold	na	na	CAIZXV010000059.1	<>	na	Primary Assembly	1782	na
contig60	unplaced-scaffold	na	na	CAIZXV010000060.1	<>	na	Primary Assembly	1739	na
contig61	unplaced-scaffold	na	na	CAIZXV010000061.1	<>	na	Primary Assembly	1690	na
contig62	unplaced-scaffold	na	na	CAIZXV010000062.1	<>	na	Primary Assembly	2053	na
contig63	unplaced-scaffold	na	na	CAIZXV010000063.1	<>	na	Primary Assembly	4033	na
contig64	unplaced-scaffold	na	na	CAIZXV010000064.1	<>	na	Primary Assembly	2355	na
contig65	unplaced-scaffold	na	na	CAIZXV010000065.1	<>	na	Primary Assembly	3783	na
contig66	unplaced-scaffold	na	na	CAIZXV010000066.1	<>	na	Primary Assembly	1805	na
contig67	unplaced-scaffold	na	na	CAIZXV010000067.1	<>	na	Primary Assembly	1571	na
contig68	unplaced-scaffold	na	na	CAIZXV010000068.1	<>	na	Primary Assembly	1683	na
contig69	unplaced-scaffold	na	na	CAIZXV010000069.1	<>	na	Primary Assembly	2055	na
contig70	unplaced-scaffold	na	na	CAIZXV010000070.1	<>	na	Primary Assembly	2623	na
contig71	unplaced-scaffold	na	na	CAIZXV010000071.1	<>	na	Primary Assembly	2292	na
contig72	unplaced-scaffold	na	na	CAIZXV010000072.1	<>	na	Primary Assembly	1761	na
contig73	unplaced-scaffold	na	na	CAIZXV010000073.1	<>	na	Primary Assembly	3527	na
contig74	unplaced-scaffold	na	na	CAIZXV010000074.1	<>	na	Primary Assembly	2181	na
contig75	unplaced-scaffold	na	na	CAIZXV010000075.1	<>	na	Primary Assembly	4724	na
contig76	unplaced-scaffold	na	na	CAIZXV010000076.1	<>	na	Primary Assembly	1956	na
contig77	unplaced-scaffold	na	na	CAIZXV010000077.1	<>	na	Primary Assembly	2063	na
contig78	unplaced-scaffold	na	na	CAIZXV010000078.1	<>	na	Primary Assembly	2964	na
contig79	unplaced-scaffold	na	na	CAIZXV010000079.1	<>	na	Primary Assembly	1736	na
contig80	unplaced-scaffold	na	na	CAIZXV010000080.1	<>	na	Primary Assembly	3954	na
contig81	unplaced-scaffold	na	na	CAIZXV010000081.1	<>	na	Primary Assembly	2796	na
contig82	unplaced-scaffold	na	na	CAIZXV010000082.1	<>	na	Primary Assembly	1613	na
contig83	unplaced-scaffold	na	na	CAIZXV010000083.1	<>	na	Primary Assembly	1635	na
contig84	unplaced-scaffold	na	na	CAIZXV010000084.1	<>	na	Primary Assembly	1580	na
contig85	unplaced-scaffold	na	na	CAIZXV010000085.1	<>	na	Primary Assembly	1863	na
contig86	unplaced-scaffold	na	na	CAIZXV010000086.1	<>	na	Primary Assembly	2143	na
contig87	unplaced-scaffold	na	na	CAIZXV010000087.1	<>	na	Primary Assembly	1652	na
contig88	unplaced-scaffold	na	na	CAIZXV010000088.1	<>	na	Primary Assembly	1547	na
contig89	unplaced-scaffold	na	na	CAIZXV010000089.1	<>	na	Primary Assembly	3398	na
contig90	unplaced-scaffold	na	na	CAIZXV010000090.1	<>	na	Primary Assembly	3635	na
contig91	unplaced-scaffold	na	na	CAIZXV010000091.1	<>	na	Primary Assembly	2453	na
contig92	unplaced-scaffold	na	na	CAIZXV010000092.1	<>	na	Primary Assembly	6315	na
contig93	unplaced-scaffold	na	na	CAIZXV010000093.1	<>	na	Primary Assembly	2664	na
contig94	unplaced-scaffold	na	na	CAIZXV010000094.1	<>	na	Primary Assembly	1545	na
contig95	unplaced-scaffold	na	na	CAIZXV010000095.1	<>	na	Primary Assembly	4415	na
contig96	unplaced-scaffold	na	na	CAIZXV010000096.1	<>	na	Primary Assembly	3209	na
contig97	unplaced-scaffold	na	na	CAIZXV010000097.1	<>	na	Primary Assembly	1597	na
contig98	unplaced-scaffold	na	na	CAIZXV010000098.1	<>	na	Primary Assembly	2086	na
contig99	unplaced-scaffold	na	na	CAIZXV010000099.1	<>	na	Primary Assembly	2891	na
contig100	unplaced-scaffold	na	na	CAIZXV010000100.1	<>	na	Primary Assembly	1724	na
contig101	unplaced-scaffold	na	na	CAIZXV010000101.1	<>	na	Primary Assembly	2179	na
contig102	unplaced-scaffold	na	na	CAIZXV010000102.1	<>	na	Primary Assembly	3653	na
contig103	unplaced-scaffold	na	na	CAIZXV010000103.1	<>	na	Primary Assembly	2932	na
contig104	unplaced-scaffold	na	na	CAIZXV010000104.1	<>	na	Primary Assembly	2173	na
contig105	unplaced-scaffold	na	na	CAIZXV010000105.1	<>	na	Primary Assembly	3002	na
contig106	unplaced-scaffold	na	na	CAIZXV010000106.1	<>	na	Primary Assembly	2424	na
contig107	unplaced-scaffold	na	na	CAIZXV010000107.1	<>	na	Primary Assembly	5361	na
contig108	unplaced-scaffold	na	na	CAIZXV010000108.1	<>	na	Primary Assembly	2726	na
contig109	unplaced-scaffold	na	na	CAIZXV010000109.1	<>	na	Primary Assembly	4806	na
contig110	unplaced-scaffold	na	na	CAIZXV010000110.1	<>	na	Primary Assembly	2677	na
contig111	unplaced-scaffold	na	na	CAIZXV010000111.1	<>	na	Primary Assembly	5350	na
contig112	unplaced-scaffold	na	na	CAIZXV010000112.1	<>	na	Primary Assembly	2066	na
contig113	unplaced-scaffold	na	na	CAIZXV010000113.1	<>	na	Primary Assembly	1755	na
contig114	unplaced-scaffold	na	na	CAIZXV010000114.1	<>	na	Primary Assembly	1697	na
contig115	unplaced-scaffold	na	na	CAIZXV010000115.1	<>	na	Primary Assembly	5344	na
contig116	unplaced-scaffold	na	na	CAIZXV010000116.1	<>	na	Primary Assembly	1811	na
contig117	unplaced-scaffold	na	na	CAIZXV010000117.1	<>	na	Primary Assembly	1704	na
contig118	unplaced-scaffold	na	na	CAIZXV010000118.1	<>	na	Primary Assembly	1572	na
contig119	unplaced-scaffold	na	na	CAIZXV010000119.1	<>	na	Primary Assembly	1969	na
contig120	unplaced-scaffold	na	na	CAIZXV010000120.1	<>	na	Primary Assembly	2409	na
contig121	unplaced-scaffold	na	na	CAIZXV010000121.1	<>	na	Primary Assembly	2290	na
contig122	unplaced-scaffold	na	na	CAIZXV010000122.1	<>	na	Primary Assembly	1606	na
contig123	unplaced-scaffold	na	na	CAIZXV010000123.1	<>	na	Primary Assembly	3026	na
