locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIDNPDGF_00001	gene	621	plsC			
NIDNPDGF_00001	CDS	621	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
NIDNPDGF_00002	gene	1035	cmk_1			
NIDNPDGF_00002	CDS	1035	cmk_1	2.7.4.25		Cytidylate kinase
NIDNPDGF_00003	gene	1026				
NIDNPDGF_00003	CDS	1026				hypothetical protein
NIDNPDGF_00004	gene	372				
NIDNPDGF_00004	CDS	372				hypothetical protein
NIDNPDGF_00005	gene	1473	dapb3			
NIDNPDGF_00005	CDS	1473	dapb3	3.4.14.-		Dipeptidyl aminopeptidase BIII
NIDNPDGF_00006	gene	1638				
NIDNPDGF_00006	CDS	1638				hypothetical protein
NIDNPDGF_00007	gene	246				
NIDNPDGF_00007	CDS	246				hypothetical protein
NIDNPDGF_00008	gene	1863	recQ			
NIDNPDGF_00008	CDS	1863	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
NIDNPDGF_00009	gene	174				
NIDNPDGF_00009	CDS	174				hypothetical protein
NIDNPDGF_00010	gene	1011	birA			
NIDNPDGF_00010	CDS	1011	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
NIDNPDGF_00011	gene	333				
NIDNPDGF_00011	CDS	333				hypothetical protein
NIDNPDGF_00012	gene	576				
NIDNPDGF_00012	CDS	576				hypothetical protein
NIDNPDGF_00013	gene	831	metE			
NIDNPDGF_00013	CDS	831	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
NIDNPDGF_00014	gene	543				
NIDNPDGF_00014	CDS	543				hypothetical protein
NIDNPDGF_00015	gene	339				
NIDNPDGF_00015	CDS	339				hypothetical protein
NIDNPDGF_00016	gene	342				
NIDNPDGF_00016	CDS	342				hypothetical protein
NIDNPDGF_00017	gene	678				
NIDNPDGF_00017	CDS	678				hypothetical protein
NIDNPDGF_00018	gene	150				
NIDNPDGF_00018	CDS	150				hypothetical protein
NIDNPDGF_00019	gene	774				
NIDNPDGF_00019	CDS	774				hypothetical protein
NIDNPDGF_00020	gene	948				
NIDNPDGF_00020	CDS	948				hypothetical protein
NIDNPDGF_00021	gene	453				
NIDNPDGF_00021	CDS	453		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
NIDNPDGF_00022	gene	369				
NIDNPDGF_00022	CDS	369				hypothetical protein
NIDNPDGF_00023	gene	759				
NIDNPDGF_00023	CDS	759				hypothetical protein
NIDNPDGF_00024	gene	1062				
NIDNPDGF_00024	CDS	1062				hypothetical protein
NIDNPDGF_00025	gene	198				
NIDNPDGF_00025	CDS	198				hypothetical protein
NIDNPDGF_00026	gene	255				
NIDNPDGF_00026	CDS	255				hypothetical protein
NIDNPDGF_00027	gene	240				
NIDNPDGF_00027	CDS	240				hypothetical protein
NIDNPDGF_00028	gene	123				
NIDNPDGF_00028	CDS	123				hypothetical protein
NIDNPDGF_00029	gene	645				
NIDNPDGF_00029	CDS	645				hypothetical protein
NIDNPDGF_00030	gene	1143				
NIDNPDGF_00030	CDS	1143				hypothetical protein
NIDNPDGF_00031	gene	300	hisA			
NIDNPDGF_00031	CDS	300	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
NIDNPDGF_00032	gene	189				
NIDNPDGF_00032	CDS	189				hypothetical protein
NIDNPDGF_00033	gene	681				
NIDNPDGF_00033	CDS	681				hypothetical protein
NIDNPDGF_00034	gene	921				
NIDNPDGF_00034	CDS	921				hypothetical protein
NIDNPDGF_00035	gene	1191	patA			
NIDNPDGF_00035	CDS	1191	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
NIDNPDGF_00036	gene	426	nfsB			
NIDNPDGF_00036	CDS	426	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
NIDNPDGF_00037	gene	537				
NIDNPDGF_00037	CDS	537				hypothetical protein
NIDNPDGF_00038	gene	1680	pgi			
NIDNPDGF_00038	CDS	1680	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NIDNPDGF_00039	gene	675				
NIDNPDGF_00039	CDS	675				hypothetical protein
NIDNPDGF_00040	gene	1281				
NIDNPDGF_00040	CDS	1281				hypothetical protein
NIDNPDGF_00041	gene	723	ycdX			
NIDNPDGF_00041	CDS	723	ycdX	3.1.3.-		phosphatase YcdX
NIDNPDGF_00042	gene	654	menG			
NIDNPDGF_00042	CDS	654	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
NIDNPDGF_00043	gene	294				
NIDNPDGF_00043	CDS	294				hypothetical protein
NIDNPDGF_00044	gene	966				
NIDNPDGF_00044	CDS	966				hypothetical protein
NIDNPDGF_00045	gene	2184	rbn_1			
NIDNPDGF_00045	CDS	2184	rbn_1	3.1.26.11		Ribonuclease BN
NIDNPDGF_00046	gene	456				
NIDNPDGF_00046	CDS	456				hypothetical protein
NIDNPDGF_00047	gene	1590				
