# ANI ranges report for assembly: GCA_000012685.1
# Submitted organism: Myxococcus xanthus DK 1622 (taxid = 246197, rank = no rank, lineage = Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Myxococcus xanthus (taxid = 34, rank = species, lineage = Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP000113.1	CIRCULAR	1	149283	9139763	FNOH01000007.1	223923	373205	GCA_900106535.1	Myxococcus xanthus	100	96	1.63334
-	CP000113.1	CIRCULAR	149284	149893	9139763	CBCSLF010000123.1	14539	15148	GCA_965140065.1	Myxococcus xanthus	100	96	0.00667413
-	CP000113.1	CIRCULAR	149914	152084	9139763	FNOH01000070.1	200	2370	GCA_900106535.1	Myxococcus xanthus	99.9951	96	0.0237534
-	CP000113.1	CIRCULAR	152085	376006	9139763	FNOH01000007.1	1	223922	GCA_900106535.1	Myxococcus xanthus	99.9951	96	2.44998
-	CP000113.1	CIRCULAR	376007	376258	9139763	CBCSLF010000004.1	225309	225560	GCA_965140065.1	Myxococcus xanthus	100	96	0.00275718
-	CP000113.1	CIRCULAR	376259	378290	9139763	FNOH01000052.1	3759	5790	GCA_900106535.1	Myxococcus xanthus	100	96	0.0222325
-	CP000113.1	CIRCULAR	378291	378513	9139763	CBCSLF010000193.1	380	602	GCA_965140065.1	Myxococcus xanthus	100	96	0.00243989
-	CP000113.1	CIRCULAR	378514	381858	9139763	FNOH01000052.1	96	3440	GCA_900106535.1	Myxococcus xanthus	99.9986	96	0.0365983
-	CP000113.1	CIRCULAR	381859	661515	9139763	FNOH01000012.1	1	279657	GCA_900106535.1	Myxococcus xanthus	99.9986	96	3.05978
-	CP000113.1	CIRCULAR	661553	662181	9139763	CBCSLF010000187.1	133	761	GCA_965140065.1	Myxococcus xanthus	100	96	0.00688202
-	CP000113.1	CIRCULAR	662208	1546261	9139763	FNOH01000002.1	1	884054	GCA_900106535.1	Myxococcus xanthus	99.9995	96	9.67261
-	CP000113.1	CIRCULAR	1546299	1546824	9139763	CBCSLF010000191.1	133	658	GCA_965140065.1	Myxococcus xanthus	99.9021	96	0.00575507
-	CP000113.1	CIRCULAR	1546825	1547319	9139763	CBCSLF010000089.1	32241	32735	GCA_965140065.1	Myxococcus xanthus	99.9021	96	0.0054159
-	CP000113.1	CIRCULAR	1547320	2035043	9139763	FNOH01000006.1	1	487724	GCA_900106535.1	Myxococcus xanthus	99.9998	96	5.33629
S	CP000113.1	CIRCULAR	2035044	2035218	9139763	JAKCFA010000017.1	1161	1335	GCA_024198215.1	Myxococcus qinghaiensis	97.1429	96	0.00191471
-	CP000113.1	CIRCULAR	2035219	2035615	9139763	CBCSLF010000205.1	122	518	GCA_965140065.1	Myxococcus xanthus	99.3457	96	0.00434366
-	CP000113.1	CIRCULAR	2035616	2036135	9139763	CBCSLF010000031.1	89870	90389	GCA_965140065.1	Myxococcus xanthus	99.3457	96	0.00568943
