#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	654	1688	-	KLHPPI_00010	37.4	6.3	PF02224.21|Cytidylate_kin, PF13189.9|Cytidylate_kin2, PF13238.9|AAA_18	PFAM:PF02224.21, PFAM:PF13189.9, PFAM:PF13238.9
contig_2	36	1061	+	KLHPPI_00015	34.0	4.1		
contig_3	351	644	+	KLHPPI_00030	10.4	12.0		
contig_3	801	1148	+	KLHPPI_00035	12.6	11.9		
contig_3	1209	1343	+	KLHPPI_00040	5.0	8.2		
contig_4	27	194	+	KLHPPI_00050	5.4	6.1		
contig_4	2305	2478	+	KLHPPI_00060	6.2	9.7		
contig_4	3777	4121	+	KLHPPI_00070	12.6	9.2		
contig_4	4235	4810	+	KLHPPI_00075	20.8	5.4		
contig_6	226	375	+	KLHPPI_00100	5.2	10.3		
contig_7	81	449	+	KLHPPI_00120	13.1	4.9		
contig_7	1160	2002	-	KLHPPI_00130	29.2	4.7		
contig_8	74	271	-	KLHPPI_00135	7.2	9.7		
contig_9	184	828	+	KLHPPI_00140	22.3	9.8		
contig_9	825	1967	+	KLHPPI_00145	39.7	4.4		
contig_9	1978	2172	+	KLHPPI_00150	6.9	6.6		
contig_9	2147	2446	-	KLHPPI_00155	10.5	5.8		
contig_10	431	619	+	KLHPPI_00160	6.5	5.0		
contig_10	1301	1981	+	KLHPPI_00165	25.4	9.5		
contig_12	82	507	+	KLHPPI_00180	15.5	6.8	PF00881.27|Nitroreductase	PFAM:PF00881.27
contig_13	628	1908	-	KLHPPI_00200	42.1	4.3		
contig_15	112	405	+	KLHPPI_00215	10.1	4.1		
contig_16	1455	1733	-	KLHPPI_00235	10.2	5.8		
contig_17	39	185	+	KLHPPI_00240	5.3	4.5	PF00218.24|IGPS	PFAM:PF00218.24
contig_18	130	375	+	KLHPPI_00250	8.8	6.8		
contig_19	630	878	+	KLHPPI_00275	8.5	7.7		
contig_19	1988	3157	-	KLHPPI_00285	39.6	4.2		
contig_21	238	984	-	KLHPPI_00290	27.2	5.2		
contig_21	1143	1373	-	KLHPPI_00295	8.2	11.8		
contig_23	1276	1896	+	KLHPPI_00310	22.4	11.0		
contig_24	74	2044	+	KLHPPI_00320	70.3	5.5		
contig_24	1968	2873	-	KLHPPI_00325	34.2	9.6	PF07238.17|PilZ	PFAM:PF07238.17
contig_26	111	854	+	KLHPPI_00330	26.8	9.1		
contig_27	2634	3035	-	KLHPPI_00360	14.9	6.0	PF08668.15|HDOD	PFAM:PF08668.15
contig_28	147	1214	+	KLHPPI_00365	40.4	9.9		
contig_28	1190	1438	-	KLHPPI_00370	9.2	9.2		
contig_28	1652	1894	-	KLHPPI_00375	9.3	9.8		
contig_29	22	1086	+	KLHPPI_00380	39.5	5.4		
contig_30	467	790	+	KLHPPI_00390	11.9	10.0	PF02604.22|PhdYeFM_antitox	PFAM:PF02604.22
contig_30	800	1198	+	KLHPPI_00395	14.9	9.0	PF01850.24|PIN	PFAM:PF01850.24
contig_31	1549	1797	-	KLHPPI_00410	7.9	4.7		
contig_32	63	221	+	KLHPPI_00415	5.6	10.7		
contig_32	816	1241	-	KLHPPI_00420	15.3	4.9		
contig_32	1261	1803	-	KLHPPI_00425	20.1	9.5	PF14815.9|NUDIX_4	PFAM:PF14815.9
contig_33	17	433	+	KLHPPI_00430	15.5	4.8		
contig_34	1693	2463	-	KLHPPI_00460	29.5	11.4	PF05235.17|CHAD	PFAM:PF05235.17
contig_36	470	1111	+	KLHPPI_00480	22.4	9.6		
contig_36	1199	1396	+	KLHPPI_00485	7.0	8.4		
contig_37	405	821	-	KLHPPI_00490	14.4	11.0		
contig_37	967	1431	+	KLHPPI_00495	16.4	9.6		
contig_37	2584	3480	-	KLHPPI_00500	30.3	4.1		
contig_38	1403	1729	-	KLHPPI_00510	11.7	9.3		
contig_39	140	496	+	KLHPPI_00515	13.0	8.9		
contig_39	504	1274	+	KLHPPI_00520	27.7	6.2	PF00596.24|Aldolase_II	PFAM:PF00596.24
contig_40	23	658	+	KLHPPI_00530	22.9	9.2		
contig_40	748	960	-	KLHPPI_00535	7.6	10.9		
contig_40	1034	2011	-	KLHPPI_00540	35.1	5.9		
contig_41	936	1895	-	KLHPPI_00545	35.6	9.1		
contig_42	48	245	+	KLHPPI_00550	7.1	8.1	PF02954.22|HTH_8	PFAM:PF02954.22
contig_42	279	698	+	KLHPPI_00555	15.9	9.4		
contig_42	987	1670	-	KLHPPI_00565	24.5	4.9		
contig_43	412	1569	-	KLHPPI_00570	43.8	11.7		
contig_44	711	1100	-	KLHPPI_00575	13.5	10.5		
contig_44	1119	1514	-	KLHPPI_00580	14.6	10.7		
contig_44	1959	2162	-	KLHPPI_00585	7.7	11.7		
contig_45	351	1217	-	KLHPPI_00590	28.9	10.3		
contig_45	2627	2746	-	KLHPPI_00600	4.4	10.2		
contig_46	284	1345	+	KLHPPI_00605	38.8	11.3		
contig_46	1294	1761	-	KLHPPI_00610	17.3	7.1	PF13524.9|Glyco_trans_1_2	PFAM:PF13524.9
contig_47	846	1481	+	KLHPPI_00625	22.9	8.5		
contig_47	1533	1790	+	KLHPPI_00630	9.9	9.4	PF04365.16|BrnT_toxin	PFAM:PF04365.16
contig_49	546	737	+	KLHPPI_00645	7.0	12.0		
contig_49	1266	2180	+	KLHPPI_00650	33.2	9.6	PF00165.26|HTH_AraC, PF02311.22|AraC_binding, PF12833.10|HTH_18	PFAM:PF00165.26, PFAM:PF02311.22, PFAM:PF12833.10
contig_49	2233	2715	-	KLHPPI_00655	16.7	9.8		
contig_50	1135	1743	-	KLHPPI_00665	21.4	4.7		
contig_51	816	992	+	KLHPPI_00680	6.7	4.7		
contig_52	1772	1933	-	KLHPPI_00730	5.6	12.0		
contig_52	2360	2608	-	KLHPPI_00735	9.0	11.9		
