# ANI ranges report for assembly: GCA_001171065.1
# Submitted organism: Yersinia frederiksenii (taxid = 29484, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia)
# Submitted Organism Has Type Assembly: Yes
# Best match: Yersinia alsatica (taxid = 2890317, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia)
# Status: MISASSIGNED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CQDT01000001.1	CONTIG	1	40411	405179	KN150731.1	2508794	2549169	GCA_000754805.1	Yersinia frederiksenii	96.3614	96	9.97362
S	CQDT01000001.1	CONTIG	40412	90564	405179	CABHWW010000007.1	296350	346495	GCA_902170305.1	Yersinia alsatica	98.499	96	12.378
S	CQDT01000001.1	CONTIG	90623	90752	405179	CACVAF010000005.1	88720	88853	GCA_902726565.1	Yersinia vastinensis	80.1471	96	0.0320846
S	CQDT01000001.1	CONTIG	90753	102307	405179	CABHWW010000007.1	284611	296167	GCA_902170305.1	Yersinia alsatica	98.2472	96	2.85183
S	CQDT01000001.1	CONTIG	102308	131423	405179	CABHWW010000007.1	255253	284360	GCA_902170305.1	Yersinia alsatica	98.2472	96	7.18596
-	CQDT01000001.1	CONTIG	131424	131601	405179	KN150731.1	2640221	2640396	GCA_000754805.1	Yersinia frederiksenii	94.8194	96	0.0439312
-	CQDT01000001.1	CONTIG	131602	132885	405179	KN150731.1	2645466	2646748	GCA_000754805.1	Yersinia frederiksenii	94.8194	96	0.316897
S	CQDT01000001.1	CONTIG	132886	180030	405179	CABHWW010000007.1	208119	255246	GCA_902170305.1	Yersinia alsatica	98.1569	96	11.6356
S	CQDT01000001.1	CONTIG	180086	241410	405179	CABHWW010000007.1	145523	206837	GCA_902170305.1	Yersinia alsatica	98.3712	96	15.1353
S	CQDT01000001.1	CONTIG	241550	248133	405179	CACVAF010000005.1	232287	238877	GCA_902726565.1	Yersinia vastinensis	85.3035	96	1.62496
S	CQDT01000001.1	CONTIG	248212	249173	405179	CABHWW010000007.1	144418	145379	GCA_902170305.1	Yersinia alsatica	97.1963	96	0.237426
-	CQDT01000001.1	CONTIG	249174	249736	405179	KN150731.1	2757178	2757741	GCA_000754805.1	Yersinia frederiksenii	93.1064	96	0.138951
-	CQDT01000001.1	CONTIG	249737	253823	405179	KN150731.1	2759063	2763158	GCA_000754805.1	Yersinia frederiksenii	93.1064	96	1.00869
S	CQDT01000001.1	CONTIG	253824	254016	405179	CP043727.1	1147642	1147834	GCA_009831415.1	Yersinia canariae	91.7526	96	0.0476333
-	CQDT01000001.1	CONTIG	254017	255522	405179	KN150731.1	2763352	2764856	GCA_000754805.1	Yersinia frederiksenii	87.6893	96	0.371688
-	CQDT01000001.1	CONTIG	258864	259833	405179	KN150731.1	2766667	2767636	GCA_000754805.1	Yersinia frederiksenii	95.9835	96	0.2394
S	CQDT01000001.1	CONTIG	259834	260034	405179	LR134373.1	88632	88832	GCA_900637475.1	Yersinia pseudotuberculosis	96.5347	96	0.0496077
-	CQDT01000001.1	CONTIG	260035	260177	405179	KN150731.1	2767838	2767980	GCA_000754805.1	Yersinia frederiksenii	88.8889	96	0.035293
S	CQDT01000001.1	CONTIG	260178	290218	405179	CABHWW010000007.1	114392	144417	GCA_902170305.1	Yersinia alsatica	98.5894	96	7.41425
-	CQDT01000001.1	CONTIG	290219	290377	405179	KN150731.1	2795109	2795267	GCA_000754805.1	Yersinia frederiksenii	96.8553	96	0.0392419
S	CQDT01000001.1	CONTIG	290378	311477	405179	CABHWW010000007.1	93135	114232	GCA_902170305.1	Yersinia alsatica	98.2086	96	5.20757
S	CQDT01000001.1	CONTIG	311496	312106	405179	CABHYG010000014.1	74914	75523	GCA_902170785.1	Yersinia proxima	82.899	96	0.150798
S	CQDT01000001.1	CONTIG	312107	315740	405179	CABHWW010000007.1	89493	93126	GCA_902170305.1	Yersinia alsatica	98.9246	96	0.896888
S	CQDT01000001.1	CONTIG	315741	405170	405179	CABHWW010000007.1	1	89438	GCA_902170305.1	Yersinia alsatica	98.9246	96	22.0717
S	CQDT01000002.1	CONTIG	58	29621	307220	CABHWW010000008.1	176525	206081	GCA_902170305.1	Yersinia alsatica	97.3052	96	9.62307
S	CQDT01000002.1	CONTIG	29636	41005	307220	CABHWW010000008.1	207256	218639	GCA_902170305.1	Yersinia alsatica	97.7265	96	3.70093
-	CQDT01000002.1	CONTIG	41006	41430	307220	KN150731.1	4898829	4899253	GCA_000754805.1	Yersinia frederiksenii	68.9977	96	0.138337
-	CQDT01000002.1	CONTIG	41431	41646	307220	AALE02000002.1	32465	32680	GCA_000168015.1	Yersinia frederiksenii	97.2222	96	0.0703079
S	CQDT01000002.1	CONTIG	41647	53609	307220	CABHWW010000011.1	1480	13440	GCA_902170305.1	Yersinia alsatica	98.412	96	3.89395
S	CQDT01000002.1	CONTIG	54521	54708	307220	CABHWW010000026.1	44883	45070	GCA_902170305.1	Yersinia alsatica	92.5532	96	0.0611939
S	CQDT01000002.1	CONTIG	55237	55372	307220	CABHWW010000026.1	44290	44425	GCA_902170305.1	Yersinia alsatica	95.5882	96	0.044268
S	CQDT01000002.1	CONTIG	55419	55617	307220	CP032482.1	1893688	1893886	GCA_003600645.1	Yersinia rochesterensis	79.1045	96	0.0647744
S	CQDT01000002.1	CONTIG	55618	55956	307220	CABHYG010000017.1	75778	76115	GCA_902170785.1	Yersinia proxima	76.2319	96	0.110344
S	CQDT01000002.1	CONTIG	55957	78470	307220	CABHWW010000011.1	48193	70738	GCA_902170305.1	Yersinia alsatica	98.4742	96	7.3283
S	CQDT01000002.1	CONTIG	78471	78635	307220	CP043727.1	2764226	2764384	GCA_009831415.1	Yersinia canariae	77.5758	96	0.0537074
-	CQDT01000002.1	CONTIG	79036	87683	307220	KN150731.1	4818967	4827610	GCA_000754805.1	Yersinia frederiksenii	90.0462	96	2.81492
-	CQDT01000002.1	CONTIG	87716	93177	307220	KN150731.1	4809378	4814835	GCA_000754805.1	Yersinia frederiksenii	92.8436	96	1.77788
-	CQDT01000002.1	CONTIG	93178	97202	307220	KN150731.1	4805287	4809280	GCA_000754805.1	Yersinia frederiksenii	92.8436	96	1.31014
S	CQDT01000002.1	CONTIG	97203	127356	307220	CABHWW010000011.1	89852	120027	GCA_902170305.1	Yersinia alsatica	97.2037	96	9.81512
S	CQDT01000002.1	CONTIG	127395	140263	307220	CABHWW010000011.1	130457	143326	GCA_902170305.1	Yersinia alsatica	97.1808	96	4.18885
S	CQDT01000002.1	CONTIG	140268	156069	307220	CABHWW010000011.1	144273	160083	GCA_902170305.1	Yersinia alsatica	97.3132	96	5.14355
