# ANI ranges report for assembly: GCA_000167135.1
# Submitted organism: Listeria monocytogenes serotype 1/2a str. F6854 (taxid = 267409, rank = no rank, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria)
# Submitted Organism Has Type Assembly: Yes
# Best match: Listeria monocytogenes (taxid = 1639, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AADQ01000001.1	CONTIG	3	51767	135621	JPTX01000004.1	68593	120389	GCA_001466295.1	Listeria monocytogenes	94.7331	92.4	38.1689
-	AADQ01000001.1	CONTIG	51768	53275	135621	AODC01000025.1	23497	25005	GCA_000525815.1	Listeria monocytogenes	99.5361	92.4	1.11192
-	AADQ01000001.1	CONTIG	53276	57885	135621	JPTX01000004.1	63963	68574	GCA_001466295.1	Listeria monocytogenes	96.2714	92.4	3.39918
-	AADQ01000001.1	CONTIG	57917	61118	135621	JPTX01000004.1	52361	55559	GCA_001466295.1	Listeria monocytogenes	96.1011	92.4	2.36099
S	AADQ01000001.1	CONTIG	61705	61807	135621	JAATOD010000001.1	285724	285821	GCA_014229645.1	Listeria swaminathanii	77.1429	96	0.0759469
-	AADQ01000001.1	CONTIG	61808	78381	135621	JPTX01000004.1	35742	52316	GCA_001466295.1	Listeria monocytogenes	94.2274	92.4	12.2208
-	AADQ01000001.1	CONTIG	78478	78715	135621	AODC01000011.1	183047	183285	GCA_000525815.1	Listeria monocytogenes	91.2863	92.4	0.175489
-	AADQ01000001.1	CONTIG	78716	102072	135621	JPTX01000004.1	12339	35698	GCA_001466295.1	Listeria monocytogenes	96.6825	92.4	17.2223
-	AADQ01000001.1	CONTIG	102110	107629	135621	JPTX01000004.1	4534	10052	GCA_001466295.1	Listeria monocytogenes	95.5624	92.4	4.07017
-	AADQ01000001.1	CONTIG	107630	109085	135621	AODC01000011.1	152687	154123	GCA_000525815.1	Listeria monocytogenes	95.8104	92.4	1.07358
-	AADQ01000001.1	CONTIG	109086	109401	135621	JPTX01000004.1	3408	3723	GCA_001466295.1	Listeria monocytogenes	98.7342	92.4	0.233002
-	AADQ01000001.1	CONTIG	109420	110539	135621	JPTX01000004.1	2026	3142	GCA_001466295.1	Listeria monocytogenes	95.0045	92.4	0.825831
-	AADQ01000001.1	CONTIG	110540	111798	135621	AODC01000011.1	149971	151231	GCA_000525815.1	Listeria monocytogenes	98.9691	92.4	0.928322
-	AADQ01000001.1	CONTIG	111799	111946	135621	JABXNF010000007.1	1330866	1331013	GCA_013625995.1	Listeria monocytogenes	95.9459	92.4	0.109128
S	AADQ01000001.1	CONTIG	111947	112235	135621	CM001047.1	356607	356895	GCA_000183865.1	Listeria marthii	92.7336	96	0.213094
-	AADQ01000001.1	CONTIG	112236	113345	135621	JPTX01000006.1	120790	121899	GCA_001466295.1	Listeria monocytogenes	93.8739	92.4	0.818457
-	AADQ01000001.1	CONTIG	113346	113689	135621	JABXMY010000048.1	1	343	GCA_013626145.1	Listeria monocytogenes	94.4767	92.4	0.253648
S	AADQ01000001.1	CONTIG	113690	114112	135621	JAARZJ010000014.1	27038	27460	GCA_014229245.1	Listeria farberi	88.7324	96	0.311899
-	AADQ01000001.1	CONTIG	114497	116464	135621	JPTX01000004.1	1	1968	GCA_001466295.1	Listeria monocytogenes	97.4099	92.4	1.4511
-	AADQ01000001.1	CONTIG	116465	116858	135621	JABXNF010000007.1	1189002	1189395	GCA_013625995.1	Listeria monocytogenes	93.6548	92.4	0.290515
-	AADQ01000001.1	CONTIG	116859	118443	135621	JPTX01000016.1	1	1585	GCA_001466295.1	Listeria monocytogenes	98.3596	92.4	1.1687
-	AADQ01000001.1	CONTIG	118473	119135	135621	JPTX01000016.1	1615	2276	GCA_001466295.1	Listeria monocytogenes	88.537	92.4	0.488862
-	AADQ01000001.1	CONTIG	119136	120593	135621	JABXNF010000007.1	1189468	1190924	GCA_013625995.1	Listeria monocytogenes	92.4554	92.4	1.07505
-	AADQ01000001.1	CONTIG	120594	121697	135621	JPTX01000020.1	1	1116	GCA_001466295.1	Listeria monocytogenes	95.6066	92.4	0.814033
-	AADQ01000001.1	CONTIG	121698	122580	135621	JPTX01000006.1	30	914	GCA_001466295.1	Listeria monocytogenes	95.6066	92.4	0.651079
-	AADQ01000001.1	CONTIG	122872	123007	135621	AODC01000011.1	147097	147243	GCA_000525815.1	Listeria monocytogenes	82.3129	92.4	0.100279
