# Assembly name:  ASM434068v1
# Organism name:  Hydrogenispora ethanolica (firmicutes)
# Infraspecific name:  strain=LX-B
# Taxid:          1082276
# BioSample:      SAMN10363346
# BioProject:     PRJNA500298
# Submitter:      DOE Joint Genome Institute
# Date:           2019-03-11
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    SLUN01
# Assembly method: SPAdes v. 3.11.0
# Expected final version: No
# Genome coverage: 251.0x
# Sequencing technology: Illumina HiSeq
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_004340685.1
# RefSeq assembly accession: GCF_004340685.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004340705.1	GCF_004340705.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Ga0244694_1001	unplaced-scaffold	na	na	SLUN01000001.1	=	NZ_SLUN01000001.1	Primary Assembly	364188	na
Ga0244694_1002	unplaced-scaffold	na	na	SLUN01000002.1	=	NZ_SLUN01000002.1	Primary Assembly	364062	na
Ga0244694_1003	unplaced-scaffold	na	na	SLUN01000003.1	=	NZ_SLUN01000003.1	Primary Assembly	269942	na
Ga0244694_1004	unplaced-scaffold	na	na	SLUN01000004.1	=	NZ_SLUN01000004.1	Primary Assembly	236856	na
Ga0244694_1005	unplaced-scaffold	na	na	SLUN01000005.1	=	NZ_SLUN01000005.1	Primary Assembly	235278	na
Ga0244694_1006	unplaced-scaffold	na	na	SLUN01000006.1	=	NZ_SLUN01000006.1	Primary Assembly	204969	na
Ga0244694_1007	unplaced-scaffold	na	na	SLUN01000007.1	=	NZ_SLUN01000007.1	Primary Assembly	170823	na
Ga0244694_1008	unplaced-scaffold	na	na	SLUN01000008.1	=	NZ_SLUN01000008.1	Primary Assembly	157895	na
Ga0244694_1009	unplaced-scaffold	na	na	SLUN01000009.1	=	NZ_SLUN01000009.1	Primary Assembly	152478	na
Ga0244694_1010	unplaced-scaffold	na	na	SLUN01000010.1	=	NZ_SLUN01000010.1	Primary Assembly	142127	na
Ga0244694_1011	unplaced-scaffold	na	na	SLUN01000011.1	=	NZ_SLUN01000011.1	Primary Assembly	141275	na
Ga0244694_1012	unplaced-scaffold	na	na	SLUN01000012.1	=	NZ_SLUN01000012.1	Primary Assembly	141125	na
Ga0244694_1013	unplaced-scaffold	na	na	SLUN01000013.1	=	NZ_SLUN01000013.1	Primary Assembly	140136	na
Ga0244694_1014	unplaced-scaffold	na	na	SLUN01000014.1	=	NZ_SLUN01000014.1	Primary Assembly	133825	na
Ga0244694_1015	unplaced-scaffold	na	na	SLUN01000015.1	=	NZ_SLUN01000015.1	Primary Assembly	124632	na
Ga0244694_1016	unplaced-scaffold	na	na	SLUN01000016.1	=	NZ_SLUN01000016.1	Primary Assembly	123918	na
Ga0244694_1017	unplaced-scaffold	na	na	SLUN01000017.1	=	NZ_SLUN01000017.1	Primary Assembly	121579	na
Ga0244694_1018	unplaced-scaffold	na	na	SLUN01000018.1	=	NZ_SLUN01000018.1	Primary Assembly	118708	na
Ga0244694_1019	unplaced-scaffold	na	na	SLUN01000019.1	=	NZ_SLUN01000019.1	Primary Assembly	112855	na
Ga0244694_1020	unplaced-scaffold	na	na	SLUN01000020.1	=	NZ_SLUN01000020.1	Primary Assembly	110748	na
Ga0244694_1021	unplaced-scaffold	na	na	SLUN01000021.1	=	NZ_SLUN01000021.1	Primary Assembly	103792	na
Ga0244694_1022	unplaced-scaffold	na	na	SLUN01000022.1	=	NZ_SLUN01000022.1	Primary Assembly	95669	na
Ga0244694_1023	unplaced-scaffold	na	na	SLUN01000023.1	=	NZ_SLUN01000023.1	Primary Assembly	94680	na
Ga0244694_1024	unplaced-scaffold	na	na	SLUN01000024.1	=	NZ_SLUN01000024.1	Primary Assembly	91885	na
