# ANI ranges report for assembly: GCA_000021005.1
# Submitted organism: Cereibacter sphaeroides KD131 (taxid = 557760, rank = no rank, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Cereibacter)
# Submitted Organism Has Type Assembly: Yes
# Best match: Cereibacter sphaeroides (taxid = 1063, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Cereibacter)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP001150.1	CIRCULAR	1	61031	3152792	CP030271.1	290325	351375	GCA_003324715.1	Cereibacter sphaeroides	98.6088	96	1.93578
-	CP001150.1	CIRCULAR	61032	67311	3152792	CP030271.1	351469	357749	GCA_003324715.1	Cereibacter sphaeroides	98.6088	96	0.199189
S	CP001150.1	CIRCULAR	67312	67947	3152792	PZZW01000001.1	110215	110852	GCA_003046325.1	Cereibacter johrii	88.1435	96	0.0201726
-	CP001150.1	CIRCULAR	67948	103389	3152792	CP030271.1	357783	393214	GCA_003324715.1	Cereibacter sphaeroides	97.7338	96	1.12415
-	CP001150.1	CIRCULAR	103390	114216	3152792	CP030271.1	393311	404133	GCA_003324715.1	Cereibacter sphaeroides	97.7338	96	0.34341
-	CP001150.1	CIRCULAR	115501	136836	3152792	CP030271.1	404491	425814	GCA_003324715.1	Cereibacter sphaeroides	97.3416	96	0.676734
-	CP001150.1	CIRCULAR	136923	146668	3152792	CP030271.1	425990	435730	GCA_003324715.1	Cereibacter sphaeroides	97.4759	96	0.309123
S	CP001150.1	CIRCULAR	146669	146841	3152792	PZZW01000001.1	189071	189209	GCA_003046325.1	Cereibacter johrii	61.1429	96	0.0054872
-	CP001150.1	CIRCULAR	146842	150411	3152792	CP030271.1	435844	439412	GCA_003324715.1	Cereibacter sphaeroides	97.8838	96	0.113233
-	CP001150.1	CIRCULAR	150412	164163	3152792	CP030271.1	439538	453307	GCA_003324715.1	Cereibacter sphaeroides	97.8838	96	0.436185
S	CP001150.1	CIRCULAR	164164	165056	3152792	PZZW01000001.1	206515	207407	GCA_003046325.1	Cereibacter johrii	95.7447	96	0.0283241
-	CP001150.1	CIRCULAR	165057	166883	3152792	CP030271.1	453415	455241	GCA_003324715.1	Cereibacter sphaeroides	95.626	96	0.0579486
