# ANI ranges report for assembly: GCA_000009085.1
# Submitted organism: Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (taxid = 192222, rank = no rank, lineage = Bacteria; Pseudomonadati; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter)
# Submitted Organism Has Type Assembly: Yes
# Best match: Campylobacter jejuni (taxid = 197, rank = species, lineage = Bacteria; Pseudomonadati; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AL111168.1	CIRCULAR	1	12632	1641481	LN831025.1	1	12635	GCA_001457695.1	Campylobacter jejuni	98.536	96	0.769549
S	AL111168.1	CIRCULAR	12633	14364	1641481	CP059597.1	13533	15279	GCA_022369435.1	Campylobacter molothri	82.9739	96	0.105514
-	AL111168.1	CIRCULAR	14386	19450	1641481	LN831025.1	14350	19416	GCA_001457695.1	Campylobacter jejuni	97.237	96	0.308563
S	AL111168.1	CIRCULAR	19451	19578	1641481	WUED01000011.1	16005	16132	GCA_016806695.1	Campylobacter bilis	82.8125	96	0.00779784
-	AL111168.1	CIRCULAR	19579	50160	1641481	LN831025.1	19417	50001	GCA_001457695.1	Campylobacter jejuni	97.8596	96	1.86307
S	AL111168.1	CIRCULAR	50161	50756	1641481	VZOR01000004.1	10502	11088	GCA_008801985.1	Campylobacter volucris	69.5581	96	0.0363087
S	AL111168.1	CIRCULAR	50757	50858	1641481	CP053830.1	1391157	1391258	GCA_013372185.1	Campylobacter lari	78.4314	92	0.0062139
S	AL111168.1	CIRCULAR	50859	51914	1641481	UIGM01000003.1	54813	55874	GCA_900446355.1	Campylobacter coli	94.0678	96	0.0643321
-	AL111168.1	CIRCULAR	51915	67820	1641481	LN831025.1	51645	67479	GCA_001457695.1	Campylobacter jejuni	97.6756	96	0.969003
-	AL111168.1	CIRCULAR	67904	70497	1641481	LN831025.1	67480	70071	GCA_001457695.1	Campylobacter jejuni	97.1321	96	0.158028
-	AL111168.1	CIRCULAR	70498	71073	1641481	LN831025.1	127398	127972	GCA_001457695.1	Campylobacter jejuni	97.1321	96	0.0350903
-	AL111168.1	CIRCULAR	71545	106712	1641481	LN831025.1	71023	106164	GCA_001457695.1	Campylobacter jejuni	97.9624	96	2.14246
-	AL111168.1	CIRCULAR	106730	124669	1641481	LN831025.1	108388	126330	GCA_001457695.1	Campylobacter jejuni	98.6792	96	1.09292
S	AL111168.1	CIRCULAR	124670	125257	1641481	UIGM01000003.1	1736710	1737296	GCA_900446355.1	Campylobacter coli	96.944	96	0.0358213
-	AL111168.1	CIRCULAR	125258	140247	1641481	LN831025.1	127973	142962	GCA_001457695.1	Campylobacter jejuni	97.8458	96	0.9132
-	AL111168.1	CIRCULAR	141243	141552	1641481	LN831025.1	143339	143673	GCA_001457695.1	Campylobacter jejuni	85.9701	96	0.0188854
S	AL111168.1	CIRCULAR	141553	141960	1641481	LR134471.1	193219	193627	GCA_900637885.1	Campylobacter insulaenigrae	93.3985	96	0.0248556
-	AL111168.1	CIRCULAR	141961	142457	1641481	LN831025.1	144003	144499	GCA_001457695.1	Campylobacter jejuni	93.5614	96	0.0302775
S	AL111168.1	CIRCULAR	142458	142612	1641481	QPGR01000020.1	13073	13229	GCA_004323845.1	Campylobacter novaezeelandiae	74.5342	96	0.00944269
-	AL111168.1	CIRCULAR	142613	172768	1641481	LN831025.1	144618	174846	GCA_001457695.1	Campylobacter jejuni	98.1217	96	1.83712
S	AL111168.1	CIRCULAR	172769	174379	1641481	UIGM01000003.1	1692473	1694080	GCA_900446355.1	Campylobacter coli	87.2222	96	0.0981431
S	AL111168.1	CIRCULAR	175785	177944	1641481	UIGM01000003.1	1695504	1697649	GCA_900446355.1	Campylobacter coli	93.724	96	0.131588
-	AL111168.1	CIRCULAR	177945	208656	1641481	LN831025.1	174907	205597	GCA_001457695.1	Campylobacter jejuni	97.98	96	1.87099
-	AL111168.1	CIRCULAR	208657	239833	1641481	LN831025.1	205695	236888	GCA_001457695.1	Campylobacter jejuni	97.98	96	1.89932
-	AL111168.1	CIRCULAR	239834	240930	1641481	LR134359.1	1707695	1708787	GCA_900637255.1	Campylobacter jejuni	94.5355	96	0.0668299
-	AL111168.1	CIRCULAR	240931	258342	1641481	LN831025.1	238092	255448	GCA_001457695.1	Campylobacter jejuni	96.8212	96	1.06075
-	AL111168.1	CIRCULAR	258356	266524	1641481	LN831025.1	257245	265413	GCA_001457695.1	Campylobacter jejuni	98.1398	96	0.49766
-	AL111168.1	CIRCULAR	266540	270911	1641481	LN831025.1	271826	276137	GCA_001457695.1	Campylobacter jejuni	92.0693	96	0.266345
-	AL111168.1	CIRCULAR	270985	273239	1641481	LR134359.1	1751705	1753954	GCA_900637255.1	Campylobacter jejuni	93.5727	96	0.137376
S	AL111168.1	CIRCULAR	273240	274205	1641481	UIGM01000003.1	1574221	1575186	GCA_900446355.1	Campylobacter coli	100	96	0.0588493
-	AL111168.1	CIRCULAR	274206	347143	1641481	LN831025.1	277189	350112	GCA_001457695.1	Campylobacter jejuni	98.0741	96	4.44343
S	AL111168.1	CIRCULAR	347144	348097	1641481	UIGM01000003.1	1497731	1498684	GCA_900446355.1	Campylobacter coli	89.5288	96	0.0581182
-	AL111168.1	CIRCULAR	348098	383519	1641481	LN831025.1	350123	385538	GCA_001457695.1	Campylobacter jejuni	98.4389	96	2.15793
-	AL111168.1	CIRCULAR	383922	387133	1641481	LN831025.1	386763	389973	GCA_001457695.1	Campylobacter jejuni	97.5412	96	0.195677
S	AL111168.1	CIRCULAR	387134	387639	1641481	QPGR01000017.1	3974	4476	GCA_004323845.1	Campylobacter novaezeelandiae	84.7358	96	0.0308258
S	AL111168.1	CIRCULAR	387923	388528	1641481	QPGR01000017.1	4758	5333	GCA_004323845.1	Campylobacter novaezeelandiae	76.0196	96	0.0369179
-	AL111168.1	CIRCULAR	388529	447706	1641481	LN831025.1	391445	450552	GCA_001457695.1	Campylobacter jejuni	98.0881	96	3.60516
-	AL111168.1	CIRCULAR	447707	451877	1641481	LR134359.1	464568	468738	GCA_900637255.1	Campylobacter jejuni	96.8832	96	0.2541
S	AL111168.1	CIRCULAR	451878	452234	1641481	UIGM01000003.1	1393276	1393632	GCA_900446355.1	Campylobacter coli	89.3557	96	0.0217487
-	AL111168.1	CIRCULAR	452235	457169	1641481	LR134359.1	468739	473678	GCA_900637255.1	Campylobacter jejuni	96.2753	96	0.300643
-	AL111168.1	CIRCULAR	457170	517060	1641481	LN831025.1	450583	510511	GCA_001457695.1	Campylobacter jejuni	97.9947	96	3.6486
-	AL111168.1	CIRCULAR	517061	518970	1641481	LR134359.1	536582	538491	GCA_900637255.1	Campylobacter jejuni	98.2199	96	0.116358
-	AL111168.1	CIRCULAR	518971	527440	1641481	LN831025.1	510512	518982	GCA_001457695.1	Campylobacter jejuni	98.2769	96	0.515997
-	AL111168.1	CIRCULAR	531113	587502	1641481	LN831025.1	520579	576966	GCA_001457695.1	Campylobacter jejuni	98.092	96	3.43531
S	AL111168.1	CIRCULAR	590158	590310	1641481	NXLY01000005.1	49008	49160	GCA_005406225.1	Campylobacter taeniopygiae	78.7097	96	0.00932085
S	AL111168.1	CIRCULAR	590311	590431	1641481	QPGR01000043.1	1	121	GCA_004323845.1	Campylobacter novaezeelandiae	87.6033	96	0.00737139
-	AL111168.1	CIRCULAR	590432	591497	1641481	LR134359.1	544993	546027	GCA_900637255.1	Campylobacter jejuni	86.0356	96	0.0649414
-	AL111168.1	CIRCULAR	591542	615188	1641481	LN831025.1	578136	601782	GCA_001457695.1	Campylobacter jejuni	98.5884	96	1.44059
-	AL111168.1	CIRCULAR	615189	616344	1641481	LN831025.1	603518	604675	GCA_001457695.1	Campylobacter jejuni	98.5884	96	0.0704242
-	AL111168.1	CIRCULAR	616345	629924	1641481	LN831025.1	604767	618328	GCA_001457695.1	Campylobacter jejuni	98.5884	96	0.827302
S	AL111168.1	CIRCULAR	629925	631291	1641481	NXMA01000006.1	31808	33174	GCA_005406215.1	Campylobacter aviculae	81.2636	96	0.0832785
-	AL111168.1	CIRCULAR	631292	631445	1641481	LN831025.1	618329	618482	GCA_001457695.1	Campylobacter jejuni	97.4026	96	0.00938177
S	AL111168.1	CIRCULAR	631446	631967	1641481	NXMA01000006.1	33336	33861	GCA_005406215.1	Campylobacter aviculae	78.424	96	0.0318006
-	AL111168.1	CIRCULAR	631968	692117	1641481	LN831025.1	618483	678630	GCA_001457695.1	Campylobacter jejuni	97.9666	96	3.66437
-	AL111168.1	CIRCULAR	693328	702063	1641481	LN831025.1	680447	689153	GCA_001457695.1	Campylobacter jejuni	97.5462	96	0.532202
S	AL111168.1	CIRCULAR	702132	702404	1641481	AINS01000034.1	6683	6950	GCA_000254135.2	Campylobacter coli	97.4359	96	0.0166313
S	AL111168.1	CIRCULAR	702405	704442	1641481	UIGM01000003.1	1080226	1082270	GCA_900446355.1	Campylobacter coli	97.3799	96	0.124156
-	AL111168.1	CIRCULAR	704443	707686	1641481	LR134359.1	702579	705859	GCA_900637255.1	Campylobacter jejuni	87.2825	96	0.197626
-	AL111168.1	CIRCULAR	707687	709170	1641481	LN831025.1	690606	692090	GCA_001457695.1	Campylobacter jejuni	95.4852	96	0.0904062
-	AL111168.1	CIRCULAR	709171	711093	1641481	LN831025.1	692355	694279	GCA_001457695.1	Campylobacter jejuni	95.4852	96	0.11715
-	AL111168.1	CIRCULAR	711094	711202	1641481	LR134359.1	709201	709307	GCA_900637255.1	Campylobacter jejuni	89.9083	96	0.00664034
-	AL111168.1	CIRCULAR	711215	711325	1641481	LR134359.1	709401	709511	GCA_900637255.1	Campylobacter jejuni	94.5946	96	0.00676219
-	AL111168.1	CIRCULAR	711326	712745	1641481	LN831025.1	701476	702895	GCA_001457695.1	Campylobacter jejuni	97.2555	96	0.0865072
-	AL111168.1	CIRCULAR	712812	765918	1641481	LN831025.1	702932	756053	GCA_001457695.1	Campylobacter jejuni	97.7824	96	3.23531
S	AL111168.1	CIRCULAR	765919	766501	1641481	UIGM01000003.1	1014287	1014874	GCA_900446355.1	Campylobacter coli	93.3898	96	0.0355167
-	AL111168.1	CIRCULAR	766502	766642	1641481	LN831025.1	756645	756785	GCA_001457695.1	Campylobacter jejuni	88.8112	96	0.0085898
-	AL111168.1	CIRCULAR	766643	768026	1641481	LR134359.1	760153	761533	GCA_900637255.1	Campylobacter jejuni	97.6173	96	0.0843141
-	AL111168.1	CIRCULAR	768027	796438	1641481	LN831025.1	757619	786026	GCA_001457695.1	Campylobacter jejuni	98.0897	96	1.73088
-	AL111168.1	CIRCULAR	796588	805593	1641481	LN831025.1	786126	795131	GCA_001457695.1	Campylobacter jejuni	98.6898	96	0.548651
-	AL111168.1	CIRCULAR	805594	806913	1641481	LR134359.1	798778	800096	GCA_900637255.1	Campylobacter jejuni	97.803	96	0.0804152
-	AL111168.1	CIRCULAR	806914	811090	1641481	LN831025.1	795625	799802	GCA_001457695.1	Campylobacter jejuni	97.1143	96	0.254465
-	AL111168.1	CIRCULAR	811091	812121	1641481	LN831025.1	800106	801145	GCA_001457695.1	Campylobacter jejuni	97.1143	96	0.0628091
-	AL111168.1	CIRCULAR	812122	813274	1641481	LN831025.1	801198	802383	GCA_001457695.1	Campylobacter jejuni	97.1143	96	0.0702414
-	AL111168.1	CIRCULAR	813340	872964	1641481	LN831025.1	802840	862475	GCA_001457695.1	Campylobacter jejuni	98.2196	96	3.63239
-	AL111168.1	CIRCULAR	872965	906372	1641481	LN831025.1	868074	901461	GCA_001457695.1	Campylobacter jejuni	98.2196	96	2.03524
-	AL111168.1	CIRCULAR	906373	906528	1641481	LR134359.1	899439	899594	GCA_900637255.1	Campylobacter jejuni	98.7179	96	0.00950361
-	AL111168.1	CIRCULAR	906529	907186	1641481	LN831025.1	901462	902116	GCA_001457695.1	Campylobacter jejuni	91.7323	96	0.0400858
-	AL111168.1	CIRCULAR	907187	907543	1641481	LN831025.1	902171	902485	GCA_001457695.1	Campylobacter jejuni	91.7323	96	0.0217487
-	AL111168.1	CIRCULAR	907775	917751	1641481	LN831025.1	902682	912671	GCA_001457695.1	Campylobacter jejuni	97.0117	96	0.607805
-	AL111168.1	CIRCULAR	917837	943594	1641481	LN831025.1	914444	940193	GCA_001457695.1	Campylobacter jejuni	98.0952	96	1.56919
-	AL111168.1	CIRCULAR	943595	975210	1641481	LN831025.1	1056016	1087626	GCA_001457695.1	Campylobacter jejuni	98.0952	96	1.92607
S	AL111168.1	CIRCULAR	975211	977064	1641481	UIGM01000003.1	754610	756485	GCA_900446355.1	Campylobacter coli	83.8555	96	0.112947
-	AL111168.1	CIRCULAR	977065	978775	1641481	LN831025.1	1087675	1089384	GCA_001457695.1	Campylobacter jejuni	95.8178	96	0.104235
-	AL111168.1	CIRCULAR	978776	982946	1641481	LN831025.1	1091110	1095304	GCA_001457695.1	Campylobacter jejuni	95.8178	96	0.2541
S	AL111168.1	CIRCULAR	982947	983934	1641481	UIGM01000003.1	742873	743860	GCA_900446355.1	Campylobacter coli	96.4575	96	0.0601895
S	AL111168.1	CIRCULAR	984323	987020	1641481	UIGM01000003.1	739712	742419	GCA_900446355.1	Campylobacter coli	97.3781	96	0.164364
-	AL111168.1	CIRCULAR	987021	1005038	1641481	LN831025.1	1095305	1113319	GCA_001457695.1	Campylobacter jejuni	97.3645	96	1.09767
-	AL111168.1	CIRCULAR	1005064	1055062	1641481	LN831025.1	1115599	1165598	GCA_001457695.1	Campylobacter jejuni	98.6401	96	3.04597
S	AL111168.1	CIRCULAR	1055063	1055317	1641481	NXMA01000001.1	19024	19268	GCA_005406215.1	Campylobacter aviculae	75.4864	96	0.0155348
S	AL111168.1	CIRCULAR	1055318	1055676	1641481	CP059597.1	829362	829709	GCA_022369435.1	Campylobacter molothri	73.2044	96	0.0218705
-	AL111168.1	CIRCULAR	1055677	1071390	1641481	LN831025.1	1165611	1181345	GCA_001457695.1	Campylobacter jejuni	96.1201	96	0.957306
S	AL111168.1	CIRCULAR	1071391	1072323	1641481	UIGM01000003.1	653250	654179	GCA_900446355.1	Campylobacter coli	76.7123	96	0.0568389
S	AL111168.1	CIRCULAR	1072324	1072460	1641481	CP053848.1	1304863	1305001	GCA_013201605.1	Campylobacter ornithocola	88.5714	96	0.00834612
S	AL111168.1	CIRCULAR	1072464	1072967	1641481	CP053830.1	264559	265062	GCA_013372185.1	Campylobacter lari	94.4444	92	0.030704
S	AL111168.1	CIRCULAR	1072968	1073614	1641481	CP007773.1	1493219	1493865	GCA_000816305.1	Campylobacter subantarcticus	89.5223	96	0.0394156
S	AL111168.1	CIRCULAR	1074232	1074557	1641481	CP053830.1	1189565	1189892	GCA_013372185.1	Campylobacter lari	89.7898	92	0.0198601
-	AL111168.1	CIRCULAR	1077703	1078092	1641481	LR134359.1	1083219	1083608	GCA_900637255.1	Campylobacter jejuni	84.8718	96	0.023759
S	AL111168.1	CIRCULAR	1078535	1079154	1641481	CP059597.1	858513	859135	GCA_022369435.1	Campylobacter molothri	79.7753	96	0.0377708
S	AL111168.1	CIRCULAR	1079444	1080063	1641481	NXLY01000004.1	6663	7280	GCA_005406225.1	Campylobacter taeniopygiae	77.5835	96	0.0377708
-	AL111168.1	CIRCULAR	1080064	1081820	1641481	LN831025.1	1188897	1190668	GCA_001457695.1	Campylobacter jejuni	93.5138	96	0.107037
-	AL111168.1	CIRCULAR	1081837	1091182	1641481	LN831025.1	1191459	1200805	GCA_001457695.1	Campylobacter jejuni	97.2505	96	0.569364
S	AL111168.1	CIRCULAR	1091183	1091794	1641481	CP031611.1	236020	236624	GCA_001687475.2	Campylobacter hepaticus	84.9026	96	0.0372834
-	AL111168.1	CIRCULAR	1091795	1228308	1641481	LN831025.1	1202808	1339195	GCA_001457695.1	Campylobacter jejuni	98.1954	96	8.31651
S	AL111168.1	CIRCULAR	1228309	1228551	1641481	CP031611.1	107729	107971	GCA_001687475.2	Campylobacter hepaticus	83.9506	96	0.0148037
S	AL111168.1	CIRCULAR	1228552	1228791	1641481	CP007773.1	1556739	1556969	GCA_000816305.1	Campylobacter subantarcticus	69.2623	96	0.0146209
-	AL111168.1	CIRCULAR	1229123	1234325	1641481	LN831025.1	1339196	1344398	GCA_001457695.1	Campylobacter jejuni	96.848	96	0.31697
S	AL111168.1	CIRCULAR	1234326	1235051	1641481	UIGM01000003.1	477730	478455	GCA_900446355.1	Campylobacter coli	97.392	96	0.0442284
S	AL111168.1	CIRCULAR	1235052	1235552	1641481	UIGM01000003.1	478456	478956	GCA_900446355.1	Campylobacter coli	97.392	96	0.0305212
-	AL111168.1	CIRCULAR	1235553	1236505	1641481	LN831025.1	1350052	1351004	GCA_001457695.1	Campylobacter jejuni	98.426	96	0.0580573
-	AL111168.1	CIRCULAR	1236512	1236707	1641481	AIOL01000181.1	1	196	GCA_000254515.2	Campylobacter jejuni	98.9796	96	0.0119404
