# ANI ranges report for assembly: GCA_000005845.2
# Submitted organism: Escherichia coli str. K-12 substr. MG1655 (taxid = 511145, rank = no rank, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia)
# Submitted Organism Has Type Assembly: Yes
# Best match: Escherichia coli (taxid = 562, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	U00096.3	CIRCULAR	1	19795	4641652	FN649414.1	1	19795	GCA_000210475.1	Escherichia coli	98.6482	96	0.426465
-	U00096.3	CIRCULAR	19796	20563	4641652	FN649414.1	4133981	4134748	GCA_000210475.1	Escherichia coli	98.6482	96	0.0165458
-	U00096.3	CIRCULAR	20564	34755	4641652	FN649414.1	23848	38052	GCA_000210475.1	Escherichia coli	98.6482	96	0.305753
-	U00096.3	CIRCULAR	34767	129706	4641652	FN649414.1	38187	133121	GCA_000210475.1	Escherichia coli	99.7778	96	2.04539
-	U00096.3	CIRCULAR	129803	216089	4641652	FN649414.1	133122	219427	GCA_000210475.1	Escherichia coli	99.43	96	1.85897
-	U00096.3	CIRCULAR	216174	231965	4641652	FN649414.1	219446	235233	GCA_000210475.1	Escherichia coli	98.8388	96	0.340224
-	U00096.3	CIRCULAR	231966	237013	4641652	FN649414.1	235455	240502	GCA_000210475.1	Escherichia coli	98.8388	96	0.108754
-	U00096.3	CIRCULAR	237014	239097	4641652	KE700841.1	13508	15591	GCA_000459055.1	Escherichia coli	99.4722	96	0.0448978
-	U00096.3	CIRCULAR	239098	253356	4641652	FN649414.1	274395	288645	GCA_000210475.1	Escherichia coli	99.0252	96	0.307197
-	U00096.3	CIRCULAR	253429	257899	4641652	FN649414.1	288646	293116	GCA_000210475.1	Escherichia coli	98.6804	96	0.0963235
-	U00096.3	CIRCULAR	257912	258672	4641652	FN649414.1	5013796	5014556	GCA_000210475.1	Escherichia coli	98.2917	96	0.016395
-	U00096.3	CIRCULAR	258676	262956	4641652	FN649414.1	293117	297397	GCA_000210475.1	Escherichia coli	99.7197	96	0.0922301
T	U00096.3	CIRCULAR	263380	265527	4641652	UFWJ01000004.1	1092712	1094843	GCA_900461075.1	Citrobacter koseri	83.6423	96	0.0462766
T	U00096.3	CIRCULAR	267206	269062	4641652	AP024585.1	3997142	3999003	GCA_018323885.1	Citrobacter amalonaticus	80.4383	96	0.0400073
-	U00096.3	CIRCULAR	270210	270539	4641652	FN649418.1	62386	62715	GCA_000210475.1	Escherichia coli	99.288	96	0.00710954
-	U00096.3	CIRCULAR	270540	271754	4641652	FN649414.1	4854724	4855938	GCA_000210475.1	Escherichia coli	99.288	96	0.026176
-	U00096.3	CIRCULAR	271757	271881	4641652	LGBJ01000026.1	26780	26904	GCA_001281725.1	Escherichia coli	96	96	0.00269301
-	U00096.3	CIRCULAR	271882	272044	4641652	JANIFB010000064.1	1	163	GCA_024519395.1	Escherichia coli	98.773	96	0.00351168
S	U00096.3	CIRCULAR	272045	272162	4641652	JALHKM010000002.1	42108	42225	GCA_022833075.1	Escherichia albertii	81.3559	96	0.0025422
-	U00096.3	CIRCULAR	272163	273954	4641652	KB732331.1	59240	61031	GCA_000350825.1	Escherichia coli	99.2192	96	0.0386069
-	U00096.3	CIRCULAR	273955	278085	4641652	JANIFB010000036.1	8406	12536	GCA_024519395.1	Escherichia coli	99.9032	96	0.0889985
-	U00096.3	CIRCULAR	278086	279162	4641652	MIIL01000001.1	3612997	3614073	GCA_001865905.1	Escherichia coli	87.6738	96	0.0232029
-	U00096.3	CIRCULAR	279164	279849	4641652	FN649414.1	1224328	1225013	GCA_000210475.1	Escherichia coli	99.7085	96	0.0147792
-	U00096.3	CIRCULAR	280118	280425	4641652	FN649414.1	4853081	4853388	GCA_000210475.1	Escherichia coli	99.026	96	0.00663557
T	U00096.3	CIRCULAR	289311	290446	4641652	AP024585.1	4033058	4034193	GCA_018323885.1	Citrobacter amalonaticus	81.2994	96	0.024474
-	U00096.3	CIRCULAR	290635	291320	4641652	FN649414.1	2142861	2143546	GCA_000210475.1	Escherichia coli	99.7085	96	0.0147792
S	U00096.3	CIRCULAR	291400	292283	4641652	JALHKM010000002.1	3319532	3320412	GCA_022833075.1	Escherichia albertii	93.2127	96	0.0190449
-	U00096.3	CIRCULAR	297238	303695	4641652	FN649414.1	354770	361225	GCA_000210475.1	Escherichia coli	99.661	96	0.139131
-	U00096.3	CIRCULAR	303696	315232	4641652	FN649414.1	363933	375469	GCA_000210475.1	Escherichia coli	99.661	96	0.248554
-	U00096.3	CIRCULAR	315233	315349	4641652	CP026788.1	4000731	4000847	GCA_002950215.1	Escherichia coli	100	96	0.00252065
-	U00096.3	CIRCULAR	315350	315810	4641652	CP000970.1	2281562	2282022	GCA_000019645.1	Escherichia coli	99.7831	96	0.00993181
-	U00096.3	CIRCULAR	315811	316437	4641652	AJVQ01000150.1	1	627	GCA_000263895.1	Escherichia coli	100	96	0.0135081
-	U00096.3	CIRCULAR	316482	357475	4641652	FN649414.1	379187	420177	GCA_000210475.1	Escherichia coli	99.9463	96	0.883177
-	U00096.3	CIRCULAR	357476	357667	4641652	MIIL01000001.1	3588693	3588870	GCA_001865905.1	Escherichia coli	91.1458	96	0.00413646
-	U00096.3	CIRCULAR	357676	375064	4641652	FN649414.1	420178	437566	GCA_000210475.1	Escherichia coli	99.5917	96	0.37463
S	U00096.3	CIRCULAR	375065	375172	4641652	JACSQI010000007.1	146494	146603	GCA_014836715.1	Escherichia whittamii	81.5789	96	0.00232676
-	U00096.3	CIRCULAR	375225	375365	4641652	AJVQ01000013.1	13698	13838	GCA_000263895.1	Escherichia coli	96.4539	96	0.00303771
-	U00096.3	CIRCULAR	375366	381253	4641652	FN649414.1	437567	443453	GCA_000210475.1	Escherichia coli	99.1343	96	0.126851
-	U00096.3	CIRCULAR	381321	382465	4641652	FN649418.1	45896	47040	GCA_000210475.1	Escherichia coli	99.3886	96	0.0246679
-	U00096.3	CIRCULAR	382466	382589	4641652	CP024138.1	55423	55546	GCA_002853715.1	Escherichia coli	100	96	0.00267146
-	U00096.3	CIRCULAR	382590	390475	4641652	FN649414.1	443454	451338	GCA_000210475.1	Escherichia coli	97.4895	96	0.169896
-	U00096.3	CIRCULAR	390476	391705	4641652	AP009240.1	433527	434756	GCA_000010385.1	Escherichia coli	99.8374	96	0.0264992
-	U00096.3	CIRCULAR	391709	392966	4641652	FN649414.1	2312714	2313971	GCA_000210475.1	Escherichia coli	99.5231	96	0.0271024
-	U00096.3	CIRCULAR	392973	529229	4641652	FN649414.1	453968	590224	GCA_000210475.1	Escherichia coli	99.5676	96	2.93553
-	U00096.3	CIRCULAR	529230	560477	4641652	FN649414.1	592932	624179	GCA_000210475.1	Escherichia coli	99.5676	96	0.673209
-	U00096.3	CIRCULAR	560478	564801	4641652	FN649414.1	624957	629286	GCA_000210475.1	Escherichia coli	99.5676	96	0.0931565
-	U00096.3	CIRCULAR	564802	566071	4641652	KE700842.1	207730	208999	GCA_000459055.1	Escherichia coli	99.7638	96	0.0273609
-	U00096.3	CIRCULAR	566072	566375	4641652	FN649414.1	865700	866003	GCA_000210475.1	Escherichia coli	97.6974	96	0.00654939
-	U00096.3	CIRCULAR	566376	566614	4641652	AJVQ01000268.1	9835	10073	GCA_000263895.1	Escherichia coli	96.6527	96	0.00514903
-	U00096.3	CIRCULAR	566615	566772	4641652	LGBJ01000066.1	497	654	GCA_001281725.1	Escherichia coli	99.3671	96	0.00340396
-	U00096.3	CIRCULAR	566777	568034	4641652	FN649414.1	2271562	2272819	GCA_000210475.1	Escherichia coli	99.6025	96	0.0271024
-	U00096.3	CIRCULAR	568035	570437	4641652	AP009240.1	619990	622394	GCA_000010385.1	Escherichia coli	97.3805	96	0.0517704
-	U00096.3	CIRCULAR	570796	572295	4641652	KE700843.1	1593127	1594626	GCA_000459055.1	Escherichia coli	93.7375	96	0.0323161
-	U00096.3	CIRCULAR	572296	573284	4641652	KE700842.1	221107	222095	GCA_000459055.1	Escherichia coli	93.7375	96	0.0213071
-	U00096.3	CIRCULAR	573285	574586	4641652	FN649414.1	875415	876716	GCA_000210475.1	Escherichia coli	98.7711	96	0.0280504
-	U00096.3	CIRCULAR	574588	574711	4641652	KB732336.1	1666022	1666145	GCA_000350825.1	Escherichia coli	100	96	0.00267146
-	U00096.3	CIRCULAR	574712	574887	4641652	MIIL01000001.1	2223082	2223257	GCA_001865905.1	Escherichia coli	97.1591	96	0.00379175
-	U00096.3	CIRCULAR	574888	575785	4641652	KB732336.1	1664948	1665845	GCA_000350825.1	Escherichia coli	99.5546	96	0.0193466
-	U00096.3	CIRCULAR	575786	578126	4641652	FN649414.1	876717	879057	GCA_000210475.1	Escherichia coli	99.1457	96	0.0504346
-	U00096.3	CIRCULAR	578127	581661	4641652	KE700842.1	225740	229274	GCA_000459055.1	Escherichia coli	98.7348	96	0.0761582
-	U00096.3	CIRCULAR	581662	581999	4641652	KE700842.1	262029	262366	GCA_000459055.1	Escherichia coli	98.7348	96	0.00728189
-	U00096.3	CIRCULAR	582000	583121	4641652	FN649414.1	1335767	1336890	GCA_000210475.1	Escherichia coli	97.331	96	0.0241724
-	U00096.3	CIRCULAR	583203	584676	4641652	KB732335.1	13244	14717	GCA_000350825.1	Escherichia coli	99.4573	96	0.0317559
-	U00096.3	CIRCULAR	584677	586103	4641652	KE700842.1	265400	266826	GCA_000459055.1	Escherichia coli	97.619	96	0.0307434
-	U00096.3	CIRCULAR	586104	593320	4641652	FN649414.1	629287	636491	GCA_000210475.1	Escherichia coli	98.8776	96	0.155483
-	U00096.3	CIRCULAR	593344	675535	4641652	FN649414.1	646987	729165	GCA_000210475.1	Escherichia coli	99.8698	96	1.77075
-	U00096.3	CIRCULAR	675536	687846	4641652	FN649414.1	730488	742798	GCA_000210475.1	Escherichia coli	99.8698	96	0.265229
-	U00096.3	CIRCULAR	687852	688170	4641652	KB732337.1	582723	583041	GCA_000350825.1	Escherichia coli	99.6865	96	0.00687255
-	U00096.3	CIRCULAR	689046	705923	4641652	FN649414.1	742799	759677	GCA_000210475.1	Escherichia coli	99.5379	96	0.363621
-	U00096.3	CIRCULAR	705939	732276	4641652	FN649414.1	759757	786094	GCA_000210475.1	Escherichia coli	99.6355	96	0.567427
-	U00096.3	CIRCULAR	732277	733230	4641652	AP009240.1	816114	817067	GCA_000010385.1	Escherichia coli	96.4361	96	0.020553
-	U00096.3	CIRCULAR	733231	734147	4641652	KE700843.1	145985	146901	GCA_000459055.1	Escherichia coli	99.7819	96	0.0197559
-	U00096.3	CIRCULAR	734148	758405	4641652	FN649414.1	786095	810351	GCA_000210475.1	Escherichia coli	98.2207	96	0.522616
-	U00096.3	CIRCULAR	758406	758537	4641652	KE700843.1	170295	170426	GCA_000459055.1	Escherichia coli	100	96	0.00284382
-	U00096.3	CIRCULAR	758538	762838	4641652	FN649414.1	810384	814684	GCA_000210475.1	Escherichia coli	99.634	96	0.092661
-	U00096.3	CIRCULAR	762839	780900	4641652	FN649414.1	814776	832875	GCA_000210475.1	Escherichia coli	99.634	96	0.389129
-	U00096.3	CIRCULAR	780999	781634	4641652	FN649414.1	832876	833511	GCA_000210475.1	Escherichia coli	98.4277	96	0.013702
-	U00096.3	CIRCULAR	781635	781790	4641652	KE700843.1	193122	193277	GCA_000459055.1	Escherichia coli	100	96	0.00336087
-	U00096.3	CIRCULAR	781791	800191	4641652	FN649414.1	833512	851913	GCA_000210475.1	Escherichia coli	99.6568	96	0.396432
-	U00096.3	CIRCULAR	800192	803279	4641652	FN649414.1	852691	855778	GCA_000210475.1	Escherichia coli	99.6568	96	0.066528
-	U00096.3	CIRCULAR	803280	807327	4641652	FN649414.1	858107	862154	GCA_000210475.1	Escherichia coli	99.6568	96	0.0872103
-	U00096.3	CIRCULAR	807328	820778	4641652	FN649414.1	909774	923224	GCA_000210475.1	Escherichia coli	99.6568	96	0.289789
-	U00096.3	CIRCULAR	820779	925843	4641652	FN649414.1	924002	1029068	GCA_000210475.1	Escherichia coli	99.6568	96	2.26353
-	U00096.3	CIRCULAR	925844	935592	4641652	FN649414.1	1029423	1039209	GCA_000210475.1	Escherichia coli	99.6568	96	0.210033
-	U00096.3	CIRCULAR	935671	1001992	4641652	FN649414.1	1039210	1105526	GCA_000210475.1	Escherichia coli	99.9264	96	1.42884
-	U00096.3	CIRCULAR	1001993	1049768	4641652	FN649414.1	1108234	1156009	GCA_000210475.1	Escherichia coli	99.9264	96	1.02929
-	U00096.3	CIRCULAR	1049778	1050545	4641652	FN649414.1	2256640	2257407	GCA_000210475.1	Escherichia coli	99.9472	96	0.0165458
-	U00096.3	CIRCULAR	1050546	1097161	4641652	FN649414.1	1156010	1202626	GCA_000210475.1	Escherichia coli	99.9472	96	1.0043
-	U00096.3	CIRCULAR	1097162	1097343	4641652	CP024138.1	2957139	2957320	GCA_002853715.1	Escherichia coli	99.4505	96	0.00392102
-	U00096.3	CIRCULAR	1097344	1119035	4641652	FN649414.1	1202627	1224317	GCA_000210475.1	Escherichia coli	99.9332	96	0.467334
-	U00096.3	CIRCULAR	1119036	1183628	4641652	FN649414.1	1225095	1289688	GCA_000210475.1	Escherichia coli	99.9332	96	1.3916
-	U00096.3	CIRCULAR	1183629	1196208	4641652	FN649414.1	1337160	1349739	GCA_000210475.1	Escherichia coli	99.9332	96	0.271024
-	U00096.3	CIRCULAR	1196209	1196424	4641652	KB732335.1	708533	708748	GCA_000350825.1	Escherichia coli	83.5616	96	0.00465352
S	U00096.3	CIRCULAR	1196425	1196549	4641652	CP025979.1	1225564	1225686	GCA_002900365.1	Escherichia marmotae	80	96	0.00269301
-	U00096.3	CIRCULAR	1201068	1201458	4641652	FN649414.1	301924	302316	GCA_000210475.1	Escherichia coli	90.8397	96	0.00842373
-	U00096.3	CIRCULAR	1202109	1203835	4641652	KE700841.1	70871	72590	GCA_000459055.1	Escherichia coli	95.4256	96	0.0372066
-	U00096.3	CIRCULAR	1203836	1204403	4641652	FN649414.1	304693	305260	GCA_000210475.1	Escherichia coli	97.968	96	0.012237
-	U00096.3	CIRCULAR	1204404	1205459	4641652	FN649414.1	315270	316325	GCA_000210475.1	Escherichia coli	97.968	96	0.0227505
-	U00096.3	CIRCULAR	1205460	1206134	4641652	KE700841.1	84830	85504	GCA_000459055.1	Escherichia coli	97.1852	96	0.0145422
-	U00096.3	CIRCULAR	1206135	1207725	4641652	FN649414.1	330036	331626	GCA_000210475.1	Escherichia coli	98.1144	96	0.0342766
-	U00096.3	CIRCULAR	1208441	1208798	4641652	LGBJ01000134.1	770	1127	GCA_001281725.1	Escherichia coli	93.5754	96	0.00771277
-	U00096.3	CIRCULAR	1208808	1209171	4641652	FN649414.1	332177	332540	GCA_000210475.1	Escherichia coli	86.2637	96	0.00784204
-	U00096.3	CIRCULAR	1209423	1209602	4641652	FN649414.1	331707	331886	GCA_000210475.1	Escherichia coli	95.5556	96	0.00387793
-	U00096.3	CIRCULAR	1209604	1210240	4641652	FN649414.1	333603	334241	GCA_000210475.1	Escherichia coli	90.6396	96	0.0137236
-	U00096.3	CIRCULAR	1211413	1216803	4641652	FN649414.1	1349740	1355132	GCA_000210475.1	Escherichia coli	99.7313	96	0.116144
-	U00096.3	CIRCULAR	1216804	1273126	4641652	FN649414.1	1355910	1412230	GCA_000210475.1	Escherichia coli	99.7313	96	1.21343
-	U00096.3	CIRCULAR	1273127	1287329	4641652	FN649414.1	1413553	1427756	GCA_000210475.1	Escherichia coli	99.7313	96	0.30599
-	U00096.3	CIRCULAR	1287330	1294406	4641652	FN649414.1	1428051	1435125	GCA_000210475.1	Escherichia coli	99.7313	96	0.152467
-	U00096.3	CIRCULAR	1294407	1295405	4641652	AJVQ01000291.1	21730	22728	GCA_000263895.1	Escherichia coli	99.8999	96	0.0215225
-	U00096.3	CIRCULAR	1295406	1299494	4641652	FN649414.1	1435126	1439214	GCA_000210475.1	Escherichia coli	99.4131	96	0.0880936
-	U00096.3	CIRCULAR	1299499	1300693	4641652	KB732338.1	178326	179520	GCA_000350825.1	Escherichia coli	99.6653	96	0.0257451
-	U00096.3	CIRCULAR	1300694	1396039	4641652	FN649414.1	1439215	1534565	GCA_000210475.1	Escherichia coli	99.8846	96	2.05414
-	U00096.3	CIRCULAR	1396040	1397237	4641652	KB732336.1	362656	363853	GCA_000350825.1	Escherichia coli	99.6661	96	0.0258098
-	U00096.3	CIRCULAR	1397239	1411898	4641652	FN649414.1	1534566	1549224	GCA_000210475.1	Escherichia coli	99.9659	96	0.315836
-	U00096.3	CIRCULAR	1411899	1419614	4641652	AP009240.1	1475327	1483043	GCA_000010385.1	Escherichia coli	99.8445	96	0.166234
-	U00096.3	CIRCULAR	1419615	1420677	4641652	MIIL01000001.1	4757616	4758678	GCA_001865905.1	Escherichia coli	99.5296	96	0.0229013
-	U00096.3	CIRCULAR	1420678	1423199	4641652	AP009240.1	1483917	1486438	GCA_000010385.1	Escherichia coli	99.1277	96	0.0543341
-	U00096.3	CIRCULAR	1423200	1425630	4641652	FN649414.1	879058	881488	GCA_000210475.1	Escherichia coli	99.7501	96	0.0523736
-	U00096.3	CIRCULAR	1425631	1427388	4641652	FN649414.1	893050	894807	GCA_000210475.1	Escherichia coli	99.7501	96	0.0378744
-	U00096.3	CIRCULAR	1427389	1427600	4641652	FN649414.1	903286	903497	GCA_000210475.1	Escherichia coli	99.7501	96	0.00456734
-	U00096.3	CIRCULAR	1427601	1428794	4641652	AP009240.1	2151721	2152913	GCA_000010385.1	Escherichia coli	96.4883	96	0.0257236
-	U00096.3	CIRCULAR	1428801	1430530	4641652	FN649414.1	903498	905227	GCA_000210475.1	Escherichia coli	96.2428	96	0.0372712
-	U00096.3	CIRCULAR	1430531	1431757	4641652	AP009240.1	1523558	1524784	GCA_000010385.1	Escherichia coli	99.185	96	0.0264346
-	U00096.3	CIRCULAR	1431758	1432078	4641652	KE700842.1	261191	261511	GCA_000459055.1	Escherichia coli	96.2617	96	0.00691564
-	U00096.3	CIRCULAR	1432079	1432225	4641652	FN649414.1	5119964	5120101	GCA_000210475.1	Escherichia coli	58.7838	96	0.00316698
-	U00096.3	CIRCULAR	1432226	1432556	4641652	KE700842.1	261695	262025	GCA_000459055.1	Escherichia coli	96.3746	96	0.00713108
