# ANI ranges report for assembly: GCA_002918555.1
# Submitted organism: Citrobacter amalonaticus (taxid = 35703, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter)
# Submitted Organism Has Type Assembly: Yes
# Best match: Citrobacter koseri (taxid = 545, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter)
# Status: MISASSIGNED
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	PQMB01000001.1	CONTIG	2	2294	1082631	AP024585.1	2507991	2510282	GCA_018323885.1	Citrobacter amalonaticus	78.1599	96	0.211799
-	PQMB01000001.1	CONTIG	2412	9739	1082631	AP024585.1	2510300	2517622	GCA_018323885.1	Citrobacter amalonaticus	82.6229	96	0.67687
-	PQMB01000001.1	CONTIG	9800	10586	1082631	AP024585.1	2517846	2518651	GCA_018323885.1	Citrobacter amalonaticus	75.0916	96	0.0726933
S	PQMB01000001.1	CONTIG	10587	15046	1082631	UAVY01000008.1	381695	386188	GCA_900446925.1	Citrobacter koseri	86.6755	96	0.411959
-	PQMB01000001.1	CONTIG	15047	26982	1082631	AP024585.1	2523140	2535079	GCA_018323885.1	Citrobacter amalonaticus	83.2888	96	1.1025
S	PQMB01000001.1	CONTIG	27357	28097	1082631	CP082833.1	3737794	3738534	GCA_021278985.1	Citrobacter rodentium	83.4455	96	0.0684444
S	PQMB01000001.1	CONTIG	28356	29808	1082631	UAVY01000008.1	401263	402715	GCA_900446925.1	Citrobacter koseri	85.1444	96	0.13421
-	PQMB01000001.1	CONTIG	29809	33951	1082631	AP024585.1	2541862	2545990	GCA_018323885.1	Citrobacter amalonaticus	80.9135	96	0.382679
S	PQMB01000001.1	CONTIG	33952	34207	1082631	CP077405.1	1995074	1995337	GCA_019048805.1	Citrobacter braakii	82.3308	96	0.0236461
S	PQMB01000001.1	CONTIG	34237	34589	1082631	UAVY01000011.1	185345	185699	GCA_900446925.1	Citrobacter koseri	80.8333	96	0.0326058
S	PQMB01000001.1	CONTIG	36728	38899	1082631	CP082833.1	3728475	3730645	GCA_021278985.1	Citrobacter rodentium	85.1034	96	0.200622
-	PQMB01000001.1	CONTIG	38900	46022	1082631	AP024585.1	2548184	2555296	GCA_018323885.1	Citrobacter amalonaticus	82.5266	96	0.657934
S	PQMB01000001.1	CONTIG	46023	46875	1082631	CP038469.1	1250070	1250930	GCA_004684345.1	Citrobacter tructae	76.8083	96	0.0787895
-	PQMB01000001.1	CONTIG	47029	50196	1082631	AP024585.1	2556162	2559327	GCA_018323885.1	Citrobacter amalonaticus	88.9343	96	0.29262
S	PQMB01000001.1	CONTIG	50197	50916	1082631	CP077291.1	2074239	2074975	GCA_019048065.1	Citrobacter farmeri	79.2683	96	0.0665047
S	PQMB01000001.1	CONTIG	51050	51931	1082631	CP077405.1	1955399	1956279	GCA_019048805.1	Citrobacter braakii	86.8009	96	0.0814682
-	PQMB01000001.1	CONTIG	51932	56859	1082631	AP024585.1	2561094	2566020	GCA_018323885.1	Citrobacter amalonaticus	83.3367	96	0.455187
S	PQMB01000001.1	CONTIG	56860	57159	1082631	CP082833.1	3710797	3711092	GCA_021278985.1	Citrobacter rodentium	86.1386	96	0.0277103
S	PQMB01000001.1	CONTIG	57160	57376	1082631	CP084372.1	1819209	1819422	GCA_020341495.1	Citrobacter werkmanii	80.9091	96	0.0200438
S	PQMB01000001.1	CONTIG	57377	57496	1082631	CP077405.1	1949123	1949244	GCA_019048805.1	Citrobacter braakii	84	96	0.0110841
-	PQMB01000001.1	CONTIG	57497	64523	1082631	AP024585.1	2567700	2574723	GCA_018323885.1	Citrobacter amalonaticus	87.3189	96	0.649067
S	PQMB01000001.1	CONTIG	64524	64660	1082631	CP084372.1	1811697	1811834	GCA_020341495.1	Citrobacter werkmanii	72.7273	96	0.0126544
-	PQMB01000001.1	CONTIG	64661	70458	1082631	AP024585.1	2574740	2580531	GCA_018323885.1	Citrobacter amalonaticus	81.0366	96	0.535547
S	PQMB01000001.1	CONTIG	70459	71330	1082631	CP084372.1	1805049	1805918	GCA_020341495.1	Citrobacter werkmanii	85.4691	96	0.0805445
