# Assembly name:  ASM16713v1
# Organism name:  Listeria monocytogenes serotype 1/2a str. F6854 (firmicutes)
# Infraspecific name:  strain=1/2a F6854
# Taxid:          267409
# BioSample:      SAMN02415268
# BioProject:     PRJNA10753
# Submitter:      TIGR
# Date:           2004-05-04
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    AADQ01
# GenBank assembly accession: GCA_000167135.1
# RefSeq assembly accession: GCF_000167135.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000167145.1	GCF_000167145.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
AADQ01000001.1	unplaced-scaffold	na	na	AADQ01000001.1	=	NZ_AADQ01000001.1	Primary Assembly	135621	na
AADQ01000002.1	unplaced-scaffold	na	na	AADQ01000002.1	=	NZ_AADQ01000002.1	Primary Assembly	128499	na
AADQ01000003.1	unplaced-scaffold	na	na	AADQ01000003.1	=	NZ_AADQ01000003.1	Primary Assembly	127435	na
AADQ01000004.1	unplaced-scaffold	na	na	AADQ01000004.1	=	NZ_AADQ01000004.1	Primary Assembly	124573	na
AADQ01000005.1	unplaced-scaffold	na	na	AADQ01000005.1	=	NZ_AADQ01000005.1	Primary Assembly	123258	na
AADQ01000006.1	unplaced-scaffold	na	na	AADQ01000006.1	=	NZ_AADQ01000006.1	Primary Assembly	105986	na
AADQ01000007.1	unplaced-scaffold	na	na	AADQ01000007.1	=	NZ_AADQ01000007.1	Primary Assembly	100866	na
AADQ01000008.1	unplaced-scaffold	na	na	AADQ01000008.1	=	NZ_AADQ01000008.1	Primary Assembly	85661	na
AADQ01000009.1	unplaced-scaffold	na	na	AADQ01000009.1	=	NZ_AADQ01000009.1	Primary Assembly	79863	na
AADQ01000010.1	unplaced-scaffold	na	na	AADQ01000010.1	=	NZ_AADQ01000010.1	Primary Assembly	77899	na
AADQ01000011.1	unplaced-scaffold	na	na	AADQ01000011.1	=	NZ_AADQ01000011.1	Primary Assembly	65893	na
AADQ01000012.1	unplaced-scaffold	na	na	AADQ01000012.1	=	NZ_AADQ01000012.1	Primary Assembly	64204	na
AADQ01000013.1	unplaced-scaffold	na	na	AADQ01000013.1	=	NZ_AADQ01000013.1	Primary Assembly	64105	na
AADQ01000014.1	unplaced-scaffold	na	na	AADQ01000014.1	=	NZ_AADQ01000014.1	Primary Assembly	62669	na
AADQ01000015.1	unplaced-scaffold	na	na	AADQ01000015.1	=	NZ_AADQ01000015.1	Primary Assembly	58871	na
AADQ01000016.1	unplaced-scaffold	na	na	AADQ01000016.1	=	NZ_AADQ01000016.1	Primary Assembly	52818	na
AADQ01000017.1	unplaced-scaffold	na	na	AADQ01000017.1	=	NZ_AADQ01000017.1	Primary Assembly	51589	na
AADQ01000018.1	unplaced-scaffold	na	na	AADQ01000018.1	=	NZ_AADQ01000018.1	Primary Assembly	47778	na
