# ANI ranges report for assembly: GCA_003149375.1
# Submitted organism: Vampirovibrio chlorellavorus (taxid = 758823, rank = species, lineage = Bacteria; Bacillati; Candidatus Melainabacteria; Vampirovibriophyceae; Vampirovibrionales; Vampirovibrio)
# Submitted Organism Has Type Assembly: Yes
# Best match: Vampirovibrio chlorellavorus (taxid = 758823, rank = species, lineage = Bacteria; Bacillati; Candidatus Melainabacteria; Vampirovibriophyceae; Vampirovibrionales; Vampirovibrio)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	QFWH01000001.1	CONTIG	7202	7571	492360	LAPX01000007.1	494329	494699	GCA_001858525.1	Vampirovibrio chlorellavorus	88.1402	96	0.0751483
-	QFWH01000001.1	CONTIG	9920	11369	492360	LAPX01000007.1	490504	491951	GCA_001858525.1	Vampirovibrio chlorellavorus	87.6033	96	0.2945
-	QFWH01000001.1	CONTIG	11455	21651	492360	LAPX01000007.1	480225	490405	GCA_001858525.1	Vampirovibrio chlorellavorus	83.2099	96	2.07105
-	QFWH01000001.1	CONTIG	21756	22113	492360	LAPX01000007.1	479593	479950	GCA_001858525.1	Vampirovibrio chlorellavorus	92.1788	96	0.072711
-	QFWH01000001.1	CONTIG	22362	29358	492360	LAPX01000007.1	472557	479529	GCA_001858525.1	Vampirovibrio chlorellavorus	85.4457	96	1.42111
-	QFWH01000001.1	CONTIG	29379	32519	492360	LAPX01000007.1	468999	472137	GCA_001858525.1	Vampirovibrio chlorellavorus	92.0845	96	0.637948
-	QFWH01000001.1	CONTIG	32520	34198	492360	LAPX01000007.1	467203	468882	GCA_001858525.1	Vampirovibrio chlorellavorus	92.0845	96	0.341011
-	QFWH01000001.1	CONTIG	34239	34377	492360	LAPX01000005.1	30689	30827	GCA_001858525.1	Vampirovibrio chlorellavorus	91.3669	96	0.0282314
-	QFWH01000001.1	CONTIG	34414	35084	492360	LAPX01000007.1	466475	467131	GCA_001858525.1	Vampirovibrio chlorellavorus	86.4382	96	0.136282
-	QFWH01000001.1	CONTIG	37299	52154	492360	LAPX01000004.1	523149	537940	GCA_001858525.1	Vampirovibrio chlorellavorus	86.4963	96	3.0173
