# ANI ranges report for assembly: GCA_000010665.1
# Submitted organism: Solidesulfovibrio magneticus RS-1 (taxid = 573370, rank = no rank, lineage = Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Solidesulfovibrio)
# Submitted Organism Has Type Assembly: Yes
# Best match: Solidesulfovibrio carbinolicus (taxid = 296842, rank = species, lineage = Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Solidesulfovibrio)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	AP010904.1	CIRCULAR	1	5436	5248049	CP026538.1	1	5439	GCA_004135975.1	Solidesulfovibrio carbinolicus	93.9742	96	0.103581
S	AP010904.1	CIRCULAR	5437	35392	5248049	CP026538.1	5510	35420	GCA_004135975.1	Solidesulfovibrio carbinolicus	93.9742	96	0.570803
S	AP010904.1	CIRCULAR	36783	43299	5248049	CP026538.1	35614	42108	GCA_004135975.1	Solidesulfovibrio carbinolicus	93.2763	96	0.124179
S	AP010904.1	CIRCULAR	43389	49777	5248049	CP026538.1	48299	54694	GCA_004135975.1	Solidesulfovibrio carbinolicus	95.6583	96	0.12174
S	AP010904.1	CIRCULAR	51244	52233	5248049	CP026538.1	54719	55677	GCA_004135975.1	Solidesulfovibrio carbinolicus	90.7164	96	0.0188642
S	AP010904.1	CIRCULAR	53411	55736	5248049	CP026538.1	55710	58047	GCA_004135975.1	Solidesulfovibrio carbinolicus	95.6856	96	0.0443212
S	AP010904.1	CIRCULAR	55836	57292	5248049	CP026538.1	58053	59509	GCA_004135975.1	Solidesulfovibrio carbinolicus	95.8904	96	0.0277627
S	AP010904.1	CIRCULAR	57443	65222	5248049	CP026538.1	87720	95465	GCA_004135975.1	Solidesulfovibrio carbinolicus	94.7968	96	0.148246
S	AP010904.1	CIRCULAR	65223	65940	5248049	CP026538.1	85855	86572	GCA_004135975.1	Solidesulfovibrio carbinolicus	94.7968	96	0.0136813
S	AP010904.1	CIRCULAR	66062	67552	5248049	CP026538.1	81877	83372	GCA_004135975.1	Solidesulfovibrio carbinolicus	94.5856	96	0.0284106
S	AP010904.1	CIRCULAR	69090	72751	5248049	CP026538.1	78175	81831	GCA_004135975.1	Solidesulfovibrio carbinolicus	92.6677	96	0.0697783
S	AP010904.1	CIRCULAR	74256	84204	5248049	CP026538.1	68217	78169	GCA_004135975.1	Solidesulfovibrio carbinolicus	96.5445	96	0.189575
S	AP010904.1	CIRCULAR	93635	94314	5248049	WVUD01000057.1	5868	6545	GCA_009856865.1	Solidesulfovibrio aerotolerans	79.8271	96	0.0129572
S	AP010904.1	CIRCULAR	97596	97779	5248049	AECZ01000003.1	141751	141933	GCA_000179555.1	Solidesulfovibrio fructosivorans	78.4211	96	0.00350606
S	AP010904.1	CIRCULAR	98005	98152	5248049	CM001368.1	2888581	2888725	GCA_000177215.2	Solidesulfovibrio carbinoliphilus	75.8389	96	0.0028201
S	AP010904.1	CIRCULAR	99058	99999	5248049	WVUD01000007.1	123231	124188	GCA_009856865.1	Solidesulfovibrio aerotolerans	78.5495	96	0.0179495
S	AP010904.1	CIRCULAR	100000	100144	5248049	AECZ01000003.1	126892	127036	GCA_000179555.1	Solidesulfovibrio fructosivorans	91.7241	96	0.00276293
S	AP010904.1	CIRCULAR	100145	100385	5248049	WVUD01000007.1	124334	124574	GCA_009856865.1	Solidesulfovibrio aerotolerans	91.7012	96	0.00459218
