# Assembly Statistics Report
# Assembly name:  ASM1768v1
# Organism name:  Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)' (spirochetes)
# Infraspecific name:  strain=Patoc 1 (Paris)
# Taxid:          456481
# BioSample:      SAMN02603347
# BioProject:     PRJNA20133
# Submitter:      Institut Pasteur
# Date:           2008-02-13
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000017685.1
# RefSeq assembly accession: GCF_000017685.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000017695.1	GCF_000017695.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3951448
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3
all	all	all	all	scaffold-N50	3599677
all	all	all	all	scaffold-L50	1
all	all	all	all	scaffold-N75	3599677
all	all	all	all	scaffold-N90	3599677
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	3
all	all	all	all	top-level-count	3
all	all	all	all	component-count	3
all	all	all	all	gc-perc	39
Primary Assembly	all	all	all	total-length	3951448
Primary Assembly	all	all	all	ungapped-length	3951448
Primary Assembly	all	all	all	scaffold-count	3
Primary Assembly	all	all	all	scaffold-N50	3599677
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	39
Primary Assembly	all	all	assembled-molecule	total-length	3951448
Primary Assembly	all	all	assembled-molecule	ungapped-length	3951448
Primary Assembly	all	all	assembled-molecule	scaffold-count	3
Primary Assembly	all	all	assembled-molecule	scaffold-N50	3599677
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	39
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	I	Chromosome	all	total-length	3599677
Primary Assembly	I	Chromosome	all	ungapped-length	3599677
Primary Assembly	I	Chromosome	all	scaffold-count	1
Primary Assembly	I	Chromosome	all	scaffold-N50	3599677
Primary Assembly	I	Chromosome	all	spanned-gaps	0
Primary Assembly	I	Chromosome	all	unspanned-gaps	0
Primary Assembly	I	Chromosome	all	gc-perc	39
Primary Assembly	I	Chromosome	assembled-molecule	total-length	3599677
Primary Assembly	I	Chromosome	assembled-molecule	ungapped-length	3599677
Primary Assembly	I	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	I	Chromosome	assembled-molecule	scaffold-N50	3599677
Primary Assembly	I	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	I	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	I	Chromosome	assembled-molecule	gc-perc	39
Primary Assembly	I	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	II	Chromosome	all	total-length	277655
Primary Assembly	II	Chromosome	all	ungapped-length	277655
Primary Assembly	II	Chromosome	all	scaffold-count	1
Primary Assembly	II	Chromosome	all	scaffold-N50	277655
Primary Assembly	II	Chromosome	all	spanned-gaps	0
Primary Assembly	II	Chromosome	all	unspanned-gaps	0
Primary Assembly	II	Chromosome	all	gc-perc	39.5
Primary Assembly	II	Chromosome	assembled-molecule	total-length	277655
Primary Assembly	II	Chromosome	assembled-molecule	ungapped-length	277655
Primary Assembly	II	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	II	Chromosome	assembled-molecule	scaffold-N50	277655
Primary Assembly	II	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	II	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	II	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	II	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	p74	Plasmid	all	total-length	74116
Primary Assembly	p74	Plasmid	all	ungapped-length	74116
Primary Assembly	p74	Plasmid	all	scaffold-count	1
Primary Assembly	p74	Plasmid	all	scaffold-N50	74116
Primary Assembly	p74	Plasmid	all	spanned-gaps	0
Primary Assembly	p74	Plasmid	all	unspanned-gaps	0
Primary Assembly	p74	Plasmid	all	gc-perc	37.5
Primary Assembly	p74	Plasmid	assembled-molecule	total-length	74116
Primary Assembly	p74	Plasmid	assembled-molecule	ungapped-length	74116
Primary Assembly	p74	Plasmid	assembled-molecule	scaffold-count	1
Primary Assembly	p74	Plasmid	assembled-molecule	scaffold-N50	74116
Primary Assembly	p74	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	p74	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	p74	Plasmid	assembled-molecule	gc-perc	37.5
Primary Assembly	p74	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	p74	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	p74	Plasmid	unlocalized-scaffold	scaffold-count	0
Primary Assembly	p74	Plasmid	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	p74	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	p74	Plasmid	unlocalized-scaffold	unspanned-gaps	0
