# ANI ranges report for assembly: GCA_003019855.1
# Submitted organism: Plesiomonas shigelloides (taxid = 703, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Plesiomonas)
# Submitted Organism Has Type Assembly: Yes
# Best match: Plesiomonas shigelloides (taxid = 703, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Plesiomonas)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP027852.1	CIRCULAR	1	37804	3505422	LT575468.1	2290494	2328368	GCA_900087055.1	Plesiomonas shigelloides	97.0791	96	1.07844
-	CP027852.1	CIRCULAR	38055	44620	3505422	LT575468.1	2281790	2288354	GCA_900087055.1	Plesiomonas shigelloides	97.2738	96	0.18731
-	CP027852.1	CIRCULAR	44685	56863	3505422	LT575468.1	2269615	2281789	GCA_900087055.1	Plesiomonas shigelloides	97.2827	96	0.347433
-	CP027852.1	CIRCULAR	57887	148471	3505422	LT575468.1	2178088	2268694	GCA_900087055.1	Plesiomonas shigelloides	97.6011	96	2.58414
-	CP027852.1	CIRCULAR	148532	154272	3505422	LT575468.1	2172369	2178087	GCA_900087055.1	Plesiomonas shigelloides	94.761	96	0.163775
-	CP027852.1	CIRCULAR	154273	154842	3505422	LT575468.1	2171709	2172278	GCA_900087055.1	Plesiomonas shigelloides	94.761	96	0.0162605
-	CP027852.1	CIRCULAR	159494	167463	3505422	LT575468.1	2158305	2166275	GCA_900087055.1	Plesiomonas shigelloides	97.5289	96	0.227362
-	CP027852.1	CIRCULAR	167652	185366	3505422	LT575468.1	2140563	2158281	GCA_900087055.1	Plesiomonas shigelloides	98.0702	96	0.50536
-	CP027852.1	CIRCULAR	185458	210727	3505422	LT575468.1	2115235	2140542	GCA_900087055.1	Plesiomonas shigelloides	97.5638	96	0.720883
-	CP027852.1	CIRCULAR	212066	257990	3505422	LT575468.1	2069363	2115234	GCA_900087055.1	Plesiomonas shigelloides	97.3156	96	1.31011
-	CP027852.1	CIRCULAR	266685	331628	3505422	LT575468.1	2002337	2067182	GCA_900087055.1	Plesiomonas shigelloides	97.0851	96	1.85267
-	CP027852.1	CIRCULAR	331629	355592	3505422	LT575468.1	1931795	1955700	GCA_900087055.1	Plesiomonas shigelloides	97.0851	96	0.683627
-	CP027852.1	CIRCULAR	355593	379370	3505422	LT575468.1	1907850	1931668	GCA_900087055.1	Plesiomonas shigelloides	97.0851	96	0.678321
-	CP027852.1	CIRCULAR	387671	443470	3505422	LT575468.1	1851636	1907494	GCA_900087055.1	Plesiomonas shigelloides	97.0536	96	1.59182
-	CP027852.1	CIRCULAR	494176	494983	3505422	LT575468.1	1850657	1851466	GCA_900087055.1	Plesiomonas shigelloides	93.2099	96	0.02305
-	CP027852.1	CIRCULAR	515803	548382	3505422	LT575468.1	1812326	1844932	GCA_900087055.1	Plesiomonas shigelloides	96.6146	96	0.929417
-	CP027852.1	CIRCULAR	549740	554822	3505422	LT575468.1	1807212	1812306	GCA_900087055.1	Plesiomonas shigelloides	96.1419	96	0.145004
-	CP027852.1	CIRCULAR	554823	576659	3505422	LT575468.1	1784955	1806792	GCA_900087055.1	Plesiomonas shigelloides	96.1419	96	0.622949
-	CP027852.1	CIRCULAR	578757	623715	3505422	LT575468.1	1739790	1784737	GCA_900087055.1	Plesiomonas shigelloides	96.8499	96	1.28256
-	CP027852.1	CIRCULAR	623912	634034	3505422	LT575468.1	1729630	1739722	GCA_900087055.1	Plesiomonas shigelloides	96.5378	96	0.288781
-	CP027852.1	CIRCULAR	634391	639631	3505422	LT575468.1	1723571	1728844	GCA_900087055.1	Plesiomonas shigelloides	94.7159	96	0.149511
-	CP027852.1	CIRCULAR	639637	641961	3505422	LT575468.1	1721152	1723477	GCA_900087055.1	Plesiomonas shigelloides	94.2465	96	0.0663258
-	CP027852.1	CIRCULAR	643670	668586	3505422	LT575468.1	1696199	1721113	GCA_900087055.1	Plesiomonas shigelloides	97.2365	96	0.710813
-	CP027852.1	CIRCULAR	670270	714426	3505422	LT575468.1	1651996	1696130	GCA_900087055.1	Plesiomonas shigelloides	96.2919	96	1.25968
-	CP027852.1	CIRCULAR	714478	719033	3505422	LT575468.1	1647300	1651856	GCA_900087055.1	Plesiomonas shigelloides	96.6299	96	0.12997
-	CP027852.1	CIRCULAR	719034	735389	3505422	LT575468.1	1630891	1647244	GCA_900087055.1	Plesiomonas shigelloides	96.6299	96	0.466591
-	CP027852.1	CIRCULAR	737843	739893	3505422	LT575468.1	1622802	1624855	GCA_900087055.1	Plesiomonas shigelloides	94.1262	96	0.0585094
-	CP027852.1	CIRCULAR	741561	741677	3505422	LT575468.1	1554842	1554958	GCA_900087055.1	Plesiomonas shigelloides	95.7265	96	0.00333769
-	CP027852.1	CIRCULAR	742342	743624	3505422	LT575468.1	1611186	1612470	GCA_900087055.1	Plesiomonas shigelloides	93.7743	96	0.0366004
-	CP027852.1	CIRCULAR	743683	743798	3505422	LT575468.1	1573985	1574096	GCA_900087055.1	Plesiomonas shigelloides	76.4706	96	0.00330916
-	CP027852.1	CIRCULAR	744636	744772	3505422	LT575468.1	1592040	1592176	GCA_900087055.1	Plesiomonas shigelloides	98.5401	96	0.00390823
-	CP027852.1	CIRCULAR	745665	745783	3505422	LT575468.1	1609166	1609285	GCA_900087055.1	Plesiomonas shigelloides	90	96	0.00339474
