# ANI ranges report for assembly: GCA_000016265.1
# Submitted organism: Rhizobium rhizogenes K84 (taxid = 311403, rank = no rank, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium)
# Submitted Organism Has Type Assembly: Yes
# Best match: Rhizobium rhizogenes (taxid = 359, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP000628.1	CIRCULAR	1	43685	4005130	SGOG01000013.1	23385	67074	GCA_007002985.1	Rhizobium rhizogenes	98.7183	96	1.09073
S	CP000628.1	CIRCULAR	43686	43943	4005130	BSQN01000008.1	21073	21327	GCA_030268365.1	Rhizobium dioscoreae	74.5247	96	0.00644174
-	CP000628.1	CIRCULAR	43944	48676	4005130	SGOG01000013.1	18073	22809	GCA_007002985.1	Rhizobium rhizogenes	99.3035	96	0.118173
-	CP000628.1	CIRCULAR	48765	66807	4005130	SGOG01000013.1	1	18043	GCA_007002985.1	Rhizobium rhizogenes	99.6619	96	0.450497
-	CP000628.1	CIRCULAR	66886	67095	4005130	SGOG01000070.1	112	321	GCA_007002985.1	Rhizobium rhizogenes	99.2548	96	0.00524328
-	CP000628.1	CIRCULAR	67096	69701	4005130	SGOG01000033.1	1	2606	GCA_007002985.1	Rhizobium rhizogenes	99.2548	96	0.0650666
-	CP000628.1	CIRCULAR	69737	69920	4005130	SGOG01000033.1	2742	2925	GCA_007002985.1	Rhizobium rhizogenes	97.8261	96	0.00459411
-	CP000628.1	CIRCULAR	69936	72930	4005130	SGOG01000033.1	3061	6055	GCA_007002985.1	Rhizobium rhizogenes	98.7806	96	0.0747791
-	CP000628.1	CIRCULAR	72931	78731	4005130	SGOG01000034.1	1	5804	GCA_007002985.1	Rhizobium rhizogenes	98.7806	96	0.144839
-	CP000628.1	CIRCULAR	78732	79364	4005130	SGOG01000054.1	1	633	GCA_007002985.1	Rhizobium rhizogenes	98.7806	96	0.0158047
-	CP000628.1	CIRCULAR	79365	79860	4005130	SGOG01000057.1	1	496	GCA_007002985.1	Rhizobium rhizogenes	98.7806	96	0.0123841
-	CP000628.1	CIRCULAR	79861	80162	4005130	SGOG01000061.1	112	413	GCA_007002985.1	Rhizobium rhizogenes	98.7806	96	0.00754033
-	CP000628.1	CIRCULAR	80163	81328	4005130	BAYX01000033.1	7125	8290	GCA_000696095.1	Rhizobium rhizogenes	98.0274	96	0.0291127
-	CP000628.1	CIRCULAR	81329	81655	4005130	SGOG01000042.1	1167	1493	GCA_007002985.1	Rhizobium rhizogenes	92.6918	96	0.00816453
-	CP000628.1	CIRCULAR	81656	81765	4005130	SGOG01000066.1	112	221	GCA_007002985.1	Rhizobium rhizogenes	92.6918	96	0.00274648
-	CP000628.1	CIRCULAR	81766	81915	4005130	SGOG01000051.1	834	983	GCA_007002985.1	Rhizobium rhizogenes	92.6918	96	0.0037452
