# ANI ranges report for assembly: GCA_000009825.1
# Submitted organism: Shouchella clausii KSM-K16 (taxid = 66692, rank = no rank, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Shouchella)
# Submitted Organism Has Type Assembly: Yes
# Best match: Shouchella clausii (taxid = 79880, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Shouchella)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AP006627.1	CIRCULAR	1	13308	4303871	CP140150.1	4444937	4458251	GCA_034479305.1	Shouchella clausii	97.3626	95.5	0.30921
-	AP006627.1	CIRCULAR	13309	13450	4303871	CP140150.1	169685	169825	GCA_034479305.1	Shouchella clausii	97.3626	95.5	0.00329936
-	AP006627.1	CIRCULAR	13539	16833	4303871	CP140150.1	897090	900388	GCA_034479305.1	Shouchella clausii	97.8706	95.5	0.076559
-	AP006627.1	CIRCULAR	16834	17187	4303871	CP140150.1	5404	5756	GCA_034479305.1	Shouchella clausii	97.8706	95.5	0.00822515
-	AP006627.1	CIRCULAR	17307	28341	4303871	CP140150.1	4462442	4473493	GCA_034479305.1	Shouchella clausii	94.5482	95.5	0.256397
-	AP006627.1	CIRCULAR	28549	30205	4303871	CP140150.1	4474686	4476335	GCA_034479305.1	Shouchella clausii	95.0513	95.5	0.0385002
-	AP006627.1	CIRCULAR	30425	46348	4303871	CP140150.1	4476336	4492274	GCA_034479305.1	Shouchella clausii	95.7604	95.5	0.369993
-	AP006627.1	CIRCULAR	46356	52253	4303871	CP140150.1	4492345	4498248	GCA_034479305.1	Shouchella clausii	96.1571	95.5	0.137039
-	AP006627.1	CIRCULAR	52254	53998	4303871	CP019985.1	1315260	1317008	GCA_002250115.1	Shouchella clausii	99.4282	95.5	0.0405449
-	AP006627.1	CIRCULAR	53999	57416	4303871	CP140150.1	4458252	4461685	GCA_034479305.1	Shouchella clausii	97.9076	95.5	0.0794169
-	AP006627.1	CIRCULAR	57436	57733	4303871	CP140150.1	4461710	4462009	GCA_034479305.1	Shouchella clausii	94.6844	95.5	0.006924
-	AP006627.1	CIRCULAR	58056	85676	4303871	CP140150.1	5782	33385	GCA_034479305.1	Shouchella clausii	96.0207	95.5	0.641771
-	AP006627.1	CIRCULAR	85756	87670	4303871	CP140150.1	33448	35365	GCA_034479305.1	Shouchella clausii	95.9333	95.5	0.0444948
-	AP006627.1	CIRCULAR	87685	90533	4303871	CP140150.1	35419	38271	GCA_034479305.1	Shouchella clausii	96.8454	95.5	0.0661962
-	AP006627.1	CIRCULAR	90650	141422	4303871	CP140150.1	38275	89165	GCA_034479305.1	Shouchella clausii	96.6837	95.5	1.17971
-	AP006627.1	CIRCULAR	141664	144701	4303871	CP140150.1	89218	92243	GCA_034479305.1	Shouchella clausii	97.731	95.5	0.0705876
-	AP006627.1	CIRCULAR	144787	147827	4303871	CP140150.1	92329	95372	GCA_034479305.1	Shouchella clausii	99.0479	95.5	0.0706573
-	AP006627.1	CIRCULAR	147860	147987	4303871	CP140150.1	172971	173099	GCA_034479305.1	Shouchella clausii	97.6744	95.5	0.00297407
S	AP006627.1	CIRCULAR	148088	148232	4303871	JAODPB010000002.1	446	590	GCA_025770735.1	Shouchella tritolerans	98.6207	96	0.00336906
